Job_Name,Company,Location,Required_Skills,min_salary,max_salary
Java Engineer,Khối Công nghệ thông tin - Viettel Telecom,Hà Nội: Nam Từ Liêm,Không có,20800000,91000000
Junior React Native Developer,CÔNG TY CỔ PHẦN TEASER,Hà Nội: Nam Từ Liêm,"Javascript, React Native, React",0,12000000
Lập Trình Viên C#,CÔNG TY TNHH SẢN XUẤT VINH QUANG,"Hà Nội: Quốc Oai, Thạch Thất",Không có,0,2000000
Nhân Viên Hỗ Trợ Phần Mềm FAST,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề, Kỹ năng làm việc nhóm",8000000,15000000
Business Analyst,CÔNG TY TNHH MTV SEN VÀNG VIỆT NAM,Hồ Chí Minh: Thủ Đức,"Giao tiếp, Phân Tích Nghiệp Vụ, Giải quyết vấn đề",0,2000000
Full Stack Developer Intern,BSS Group,Hà Nội: Nam Từ Liêm,"HTML, CSS, Javascript",0,5000000
IT Support,CÔNG TY TNHH CÔNG NGHỆ MEGAHOST,Hồ Chí Minh: Quận 12,Không có,9000000,12000000
Java Developers,Công ty Cổ phần Công nghệ Tài chính Goline,Hà Nội: Cầu Giấy,Không có,18000000,28000000
Lập Trình Viên Mobile App/ Mobile Developer,Công ty Cổ phần Tập đoàn Đầu tư EMIR,Hà Nội: Cầu Giấy,"RESTful API, Kiến Thức Về Cấu Trúc Dữ Liệu Và Giải Thuật, Quản Lý Bộ Nhớ",16000000,20000000
Lập Trình Viên PHP Developer,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO H2T,"Bình Dương: Thuận AnHồ Chí Minh: Thủ Đức, Quận 12, Quận 9","CSS, HTML, Javascript",0,10000000
Middle AI Engineer,IMT SOLUTIONS CORP,Hồ Chí Minh: Tân Bình,"Xử Lý Dữ Liệu, Lập Trình Python, Học Máy (machine Learning)",0,2000000
Product Manager,CÔNG TY TNHH SẢN XUẤT & THƯƠNG MẠI DƯỢC MỸ PHẨM ASIALAB,Hồ Chí Minh: Bình Thạnh,"Giao tiếp, Phân tích dữ liệu, Nghiên Cứu Thị Trường",20000000,35000000
Chuyên Viên Quản Trị Mạng,Ngân Hàng Bảo Việt,Hà Nội,Không có,0,2000000
Web Creator / Wordpress/ PHP/ CSS,Công Ty TNHH Chiroro-Net Việt,Hồ Chí Minh: Quận 1,Không có,18000000,25000000
Angular Developer,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội: Nam Từ Liêm,"Angular, TypeScript, HTML",15000000,22000000
Phó Phòng Công Nghệ Thông Tin,Công ty Cổ phần Tập đoàn Đầu tư EMIR,Hà Nội: Cầu Giấy,"Quản Lý Đội Nhóm, Quản Lý Dự Án, phần mềm Agile/Scrum",30000000,40000000
Nhân Viên Hỗ Trợ IT,CÔNG TY CỔ PHẦN GIÁO DỤC ISMART,Hồ Chí Minh: Quận 10,Không có,0,2000000
Trưởng/Phó Phòng R&D,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ IDEA,Hồ Chí Minh: Thủ Đức,"Quản Lý Dự Án, Phân Tích Nghiệp Vụ, Phát Triển Phần Mềm",0,2000000
DEV - Embedded Software Engineer,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,"Javascript, Shell script, TCP/IP",25000000,40000000
Lập Trình Viên IOS,Công ty Cổ phần INFINITY TECHNOLOGY GLOBAL,Hà Nội: Đống Đa,Không có,18000000,30000000
