Job_Name,Company,Location,Required_Skills,min_salary,max_salary
AI Engineer,Công ty TNHH công nghệ cao Skymap,Hà Nội: Hà Đông,Lập Trình (Python|Java|C++)|Học Máy (Machine Learning)|Học Sâu (Deep Learning),25000000,30000000
Game Designer,CÔNG TY CỔ PHẦN IKAME GLOBAL,Hà Nội: Đống Đa,Thiết Kế Game|Kiểm Thử Game|Lập Trình Game (Ít Nhất 1 Ngôn Ngữ),15000000,40000000
Flutter Developer,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,Hà Nội: Tây Hồ,Git|Dart|Rest Apis,0,20000000
OpenStack Engineer,Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,Hà Nội: Cầu Giấy,Linux|Cloud Computing|Networking,0,2000000
Quản Lý Dự Án CNTT,Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,Hà Nội: Cầu Giấy,Quản Lý Thời Gian|Quản Lý Dự Án|Quản Lý Ngân Sách,0,2000000
DevOps Engineer,Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,Hà Nội: Cầu Giấy,Linux System Administration|Cloud Computing (Aws|Azure|Gcp)|Containerization (Docker|Kubernetes),0,2000000
Leader 2D Artist/ Anime,CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ BLUE DREAM,Hồ Chí Minh: Quận 7,Vẽ 2D|Thiết Kế Nhân Vật|Vẽ Anime Manga,0,2000000
Kỹ Sư Kết Cấu Revit,Công Ty TNHH Kiến Trúc Và Xây Dựng Point Group,Hà Nội: Thanh Xuân,Vẽ Kỹ Thuật (Autocad|Revit Structure)|Tính Toán Kết Cấu (Tĩnh|Động)|Phân Tích Kết Cấu (Phương Pháp Phần Tử Hữu Hạn),12000000,20000000
Trưởng Nhóm Nghiên Cứu Kỹ Thuật IA & IT,Công ty cổ phần Công nghệ Proton,Hà Nội: Cầu Giấy,Quản Lý Dự Án|Lãnh Đạo Nhóm|Nghiên Cứu Và Phát Triển (R&D),30000000,60000000
.NET Developer,CÔNG TY TNHH EXCELLENT NODES,Hồ Chí Minh: Quận 5,Html|Css|Object Oriented Programming (Oop)|.Net Framework Core,0,15000000
Quality Controller,CÔNG TY TNHH EXCELLENT NODES,Hồ Chí Minh: Quận 5,Làm Việc Nhóm|Phân Tích Dữ Liệu|Viết Báo Cáo,0,8000000
Quản Lý Dự Án,Vega Corporation,Hà Nội: Cầu Giấy,Quản Lý Dự Án|Phân Tích Tài Chính|Báo Cáo Tài Chính,25000000,40000000
Chuyên Viên Phân Tích Nghiệp Vụ,FPT IS,Hà Nội: Cầu Giấy,Giao Tiếp|Phân Tích Nghiệp Vụ|Thu Thập Yêu Cầu,0,2000000
Reactjs Developer,FPT IS,Hà Nội: Cầu Giấy,Css|Html|Reactjs,0,2000000
Trưởng Nhóm 2D Artist/ Anime,Công Ty TNHH Chăn Nuôi Thanh Dương,Hồ Chí Minh: Quận 7,Kỹ Năng Vẽ 2D|Kiến Thức Về Phong Cách Anime|Khả Năng Lãnh Đạo,0,2000000
Nhân Viên IT,CÔNG TY CỔ PHẦN SẢN XUẤT GIA CÔNG VÀ XUẤT NHẬP KHẨU HANEL,Bắc Ninh: Tiên Du,Kiến Thức Về Phần Mềm|Khả Năng Giải Quyết Vấn Đề|Kỹ Năng Giao Tiếp,0,2000000
I-Security Engineer (Kỹ Sư Bảo Mật) / IT Security,Netpoleon Vietnam,Hà Nội: Đống Đa,Quản Lý Rủi Ro Bảo Mật|Phân Tích Lỗ Hổng Bảo Mật|Bảo Mật Mạng,0,2000000
Thực Tập Sinh IT Comtor,Newwave Solutions JSC,Hà Nội: Cầu Giấy,Kỹ Năng Tin Học Văn Phòng|Tiếng Nhật N2 Trở Lên|Kiến Thức Cơ Bản Về It,2000000,4000000
Project Manager,Công ty TNHH DMSpro,Hồ Chí Minh: Tân Bình,Quản Lý Thời Gian|Giao Tiếp|Quản Lý Ngân Sách,0,2000000
Scrum Master,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Hồ Chí Minh: Quận 7,Agile|Scrum|Giao Tiếp,0,2000000
Software Engineer,Cty TNHH Thundersoft Việt Nam,Hà Nội: Từ Liêm,Embedded Systems|Audio Processing,0,2000000
Thực Tập Sinh IT,CÔNG TY TNHH AVSE CORPORATION VIỆT NAM,Hà NộiHồ Chí Minh,Làm Việc Nhóm|Tư Duy Logic|Giải Quyết Vấn Đề,0,2000000
Bridge Project Manager For Japanese Customer,CÔNG TY TNHH I-O DATA VIỆT NAM,Hồ Chí Minh: Quận 1,Quản Lý Dự Án|Phân Tích Nghiệp Vụ|Giải Quyết Vấn Đề,20000000,50000000
Junior Project Manager,Công ty TNHH cung cấp dịch vụ viễn thông phương thảo,Hà Nội: Hà Đông,Giao Tiếp|Lập Kế Hoạch|Quản Lý Thời Gian,18000000,20000000
Senior Python Developer,Công ty CP Phần mềm MOR,Hồ Chí Minh: Tân Bình,Python|Sql|Llm,0,2000000
Mobile Developer Từ 2 Năm Exp,CÔNG TY CỔ PHẦN MELI,Hà Nội: Nam Từ Liêm,Lập Trình Mobile|Kiến Thức Về Cấu Trúc Dữ Liệu Và Giải Thuật|Quản Lý Bộ Nhớ,12000000,25000000
Full Stack Developer,CÔNG TY CỔ PHẦN MELI,Hà Nội: Nam Từ Liêm,Javascript|Mongodb|Nodejs,0,30000000
Game Operation Manager,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIẢI TRÍ ĐẠI DƯƠNG,Hà Nội: Đống Đa,Game|Quản Lý Dự Án|Phân Tích Dữ Liệu,35000000,45000000
Thực Tập Sinh Trợ Lý Giám Đốc,Công ty cổ phần TechLead,Hà Nội: Thanh Xuân,Quản Lý Thời Gian|Giao Tiếp Hiệu Quả|Lập Kế Hoạch Và Tổ Chức,0,2000000
Senior System Engineer,Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,Bà Rịa-Vũng Tàu: TP Vũng TàuHồ Chí Minh: Quận 7Bình Dương: Thủ Dầu MộtĐồng Nai: Biên Hoà,System Administration|Linux Windows Server|Networking (Tcp Ip|Dns|Dhcp),25000000,30000000
