Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
Free Guy,2021,0.62,0.71,0.66,474000,115.0,Artificial Intelligence|Gun Fu|High-Concept Comedy|Romantic Comedy|Superhero|Urban Adventure|Action|Adventure|Comedy|Fantasy
The Menu,2022,0.71,0.72,0.72,473000,107.0,Dark Comedy|Psychological Horror|Satire|Comedy|Horror|Thriller
No Time to Die,2021,0.68,0.73,0.7,473000,163.0,Action Epic|Adventure Epic|Globetrotting Adventure|Spy|Action|Adventure|Thriller
John Wick: Chapter 3 - Parabellum,2019,0.73,0.74,0.74,467000,130.0,Gun Fu|One-Person Army Action|Action|Crime|Drama|Thriller
Black Widow,2021,0.68,0.66,0.67,465000,134.0,Spy|Superhero|Action|Adventure|Sci-Fi
Zack Snyders Justice League,2021,0.54,0.79,0.66,465000,242.0,Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Sci-Fi Epic|Superhero|Action|Adventure|Fantasy
Midsommar,2019,0.72,0.71,0.72,464000,148.0,Dark Comedy|Folk Horror|Psychological Drama|Psychological Horror|Psychological Thriller|Drama|Horror|Mystery|Thriller
The Irishman,2019,0.94,0.78,0.86,461000,209.0,Docudrama|Epic|Gangster|Period Drama|True Crime|Biography|Crime|Drama|History|Thriller
3,2023,0.64,0.79,0.72,450000,150.0,Space Sci-Fi|Superhero|Action|Adventure|Comedy|Sci-Fi
The Suicide Squad,2021,0.72,0.72,0.72,447000,132.0,Action Epic|Adventure Epic|Dark Comedy|Epic|Gun Fu|Kaiju|Sci-Fi Epic|Superhero|Action|Adventure
Thor: Love and Thunder,2022,0.57,0.61,0.59,446000,118.0,Action Epic|Adventure Epic|Dark Comedy|Epic|Sci-Fi Epic|Superhero|Action|Adventure|Comedy|Romance
The Gentlemen,2019,0.51,0.78,0.64,443000,113.0,Caper|Dark Comedy|Drug Crime|Gangster|Action|Crime
A Star Is Born,2018,0.88,0.76,0.82,441000,136.0,Romantic Epic|Showbiz Drama|Tragedy|Tragic Romance|Drama|Music|Romance
Hereditary,2018,0.87,0.73,0.8,436000,127.0,Folk Horror|Psychological Drama|Psychological Horror|Psychological Thriller|Supernatural Horror|Tragedy|Witch Horror|Drama|Horror|Mystery
Soul,2020,0.83,0.8,0.82,418000,100.0,Coming-Of-Age|Computer Animation|Adventure|Animation|Comedy|Drama|Family|Fantasy|Music
Eternals,2021,0.52,0.62,0.57,417000,156.0,Action Epic|Adventure Epic|Epic|Fantasy Epic|Sci-Fi Epic|Superhero|Action|Adventure|Fantasy|Sci-Fi
Bird Box,2018,0.51,0.66,0.58,413000,124.0,Folk Horror|Psychological Horror|Supernatural Horror|Horror|Mystery|Sci-Fi
Mission: Impossible - Fallout,2018,0.87,0.77,0.82,411000,147.0,Action Epic|Globetrotting Adventure|Spy|Action|Adventure|Thriller
Shazam!,2019,0.71,0.7,0.7,407000,132.0,Superhero|Action|Adventure|Comedy|Fantasy
Solo: A Star Wars Story,2018,0.62,0.69,0.66,401000,135.0,Action Epic|Adventure Epic|Epic|Quest|Sci-Fi Epic|Space Sci-Fi|Action|Adventure|Sci-Fi
John Wick: Chapter 4,2023,0.78,0.76,0.77,396000,169.0,Action Epic|Gun Fu|One-Person Army Action|Action|Crime|Thriller
Snow White,2025,0.5,0.21,0.36,390000,109.0,Fairy Tale|Feel-Good Romance|Adventure|Family|Fantasy|Musical|Romance
Annihilation,2018,0.79,0.68,0.74,386000,115.0,Alien Invasion|Body Horror|Psychological Horror|Adventure|Drama|Horror|Mystery|Sci-Fi|Thriller
Us,2019,0.81,0.68,0.75,379000,116.0,Dark Comedy|Folk Horror|Psychological Horror|Teen Horror|Horror|Mystery|Thriller
Nobody,2021,0.64,0.74,0.69,376000,92.0,Dark Comedy|Gangster|One-Person Army Action|Action|Crime|Drama|Thriller
Jurassic World: Fallen Kingdom,2018,0.51,0.61,0.56,372000,128.0,Dinosaur Adventure|Action|Adventure|Sci-Fi
Marriage Story,2019,0.94,0.79,0.86,365000,137.0,Psychological Drama|Drama|Romance
Incredibles 2,2018,0.8,0.75,0.78,360000,118.0,Computer Animation|Conspiracy Thriller|Cyber Thriller|Superhero|Urban Adventure|Action|Adventure|Animation|Comedy|Family
Poor Things,2023,0.88,0.78,0.83,356000,141.0,Dark Comedy|Psychological Drama|Steampunk|Comedy|Drama|Romance|Sci-Fi
The Substance,2024,0.78,0.72,0.75,347000,141.0,Body Horror|Dark Comedy|Monster Horror|Psychological Horror|Showbiz Drama|Drama|Horror|Sci-Fi
Red Notice,2021,0.37,0.63,0.5,346000,118.0,Action|Comedy|Thriller
Black Panther: Wakanda Forever,2022,0.67,0.66,0.66,343000,161.0,Superhero|Action|Adventure|Drama|Sci-Fi
Uncut Gems,2019,0.93,0.74,0.84,342000,135.0,Gangster|Psychological Drama|Psychological Thriller|Crime|Drama|Thriller
It: Chapter Two,2019,0.58,0.65,0.62,333000,169.0,Dark Fantasy|Monster Horror|Supernatural Horror|Drama|Fantasy|Horror
Superman,2025,0.68,0.71,0.7,329000,129.0,Action Epic|Adventure Epic|Epic|Sci-Fi Epic|Superhero|Action|Adventure|Sci-Fi
El Camino,2019,0.72,0.73,0.72,327000,122.0,Contemporary Western|Psychological Drama|Psychological Thriller|Crime|Drama|Thriller
Fantastic Beasts: The Crimes of Grindelwald,2018,0.52,0.65,0.58,326000,134.0,Sword & Sorcery|Adventure|Family|Fantasy
Alita: Battle Angel,2019,0.53,0.73,0.63,317000,122.0,Cyberpunk|Dystopian Sci-Fi|Quest|Action|Adventure|Sci-Fi|Thriller
The Platform,2019,0.73,0.7,0.72,315000,94.0,Spanish|Dystopian Sci-Fi|Prison Drama|Horror|Mystery|Sci-Fi|Thriller
Mission: Impossible - Dead Reckoning Part One,2023,0.81,0.76,0.78,314000,163.0,Action Epic|Adventure Epic|Spy|Action|Adventure|Thriller
A Quiet Place Part II,2020,0.71,0.72,0.72,312000,97.0,Alien Invasion|Monster Horror|Supernatural Horror|Drama|Horror|Sci-Fi|Thriller
Jumanji: The Next Level,2019,0.58,0.66,0.62,310000,123.0,Body Swap Comedy|High-Concept Comedy|Action|Adventure|Comedy|Fantasy
Aladdin,2019,0.53,0.69,0.61,308000,128.0,Adventure Epic|Desert Adventure|Fairy Tale|Pop Musical|Romantic Comedy|Adventure|Comedy|Family|Fantasy|Musical
Nope,2022,0.77,0.68,0.73,307000,130.0,Alien Invasion|Monster Horror|Supernatural Horror|Horror|Mystery|Sci-Fi|Thriller
BlacKkKlansman,2018,0.83,0.75,0.79,307000,135.0,Cop Drama|Docudrama|Period Drama|True Crime|Biography|Comedy|Crime|Drama
Wonder Woman 1984,2020,0.6,0.53,0.56,307000,151.0,Action Epic|Adventure Epic|Epic|Fantasy Epic|Superhero|Action|Adventure|Fantasy|Holiday
Furiosa: A Mad Max Saga,2024,0.79,0.75,0.77,305000,148.0,Action Epic|Adventure Epic|Car Action|Desert Adventure|Dystopian Sci-Fi|Epic|Quest|Tragedy|Action|Adventure
