Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Indiana Jones and the Dial of Destiny,2023,6.5,226K,58,2h 34m,"Action Epic, Adventure Epic, Epic, Globetrotting Adventure, Sci-Fi Epic, Time Travel, Action, Adventure, Sci-Fi"
Ready or Not,2019,6.8,224K,64,1h 35m,"Dark Comedy, Splatter Horror, Action, Comedy, Horror, Mystery, Thriller"
Godzilla: King of the Monsters,2019,6,224K,48,2h 12m,"Action Epic, Dark Fantasy, Dinosaur Adventure, Disaster, Kaiju, Supernatural Fantasy, Urban Adventure, Action, Adventure, Fantasy"
"Love, Death & Robots",2019–,8.4,223K,N/A,TV-MA,"Action Epic, Adult Animation, Artificial Intelligence, Body Horror, Computer Animation, Cyber Thriller, Cyberpunk, Dark Comedy, Dark Fantasy, Dystopian Sci-Fi"
Jungle Cruise,2021,6.5,223K,50,2h 7m,"High-Concept Comedy, Jungle Adventure, Quest, Action, Adventure, Comedy, Fantasy"
The Meg,2018,5.7,223K,46,1h 53m,"Kaiju, Action, Horror, Sci-Fi, Thriller"
X-Men: Dark Phoenix,2019,5.7,223K,43,1h 53m,"Superhero, Action, Adventure, Sci-Fi"
Conclave,2024,7.4,222K,79,2h,"Conspiracy Thriller, Drama, Thriller"
The Equalizer 2,2018,6.7,222K,50,2h 1m,"One-Person Army Action, Whodunnit, Action, Crime, Mystery, Thriller"
Klaus,2019,8.2,221K,65,1h 36m,"Hand-Drawn Animation, Holiday Animation, Holiday Comedy, Holiday Family, Adventure, Animation, Comedy, Family, Fantasy, Holiday"
The Father,2020,8.2,220K,88,1h 37m,"Psychological Drama, Drama, Mystery"
Zombieland: Double Tap,2019,6.7,220K,55,1h 39m,"Dark Comedy, Zombie Horror, Action, Comedy, Horror"
Another Round,2020,7.7,219K,79,1h 57m,"Danish, Dark Comedy, Psychological Drama, Comedy, Drama"
X,2022,6.5,216K,73,1h 45m,"Slasher Horror, Suspense Mystery, Horror, Mystery, Thriller"
The Killer,2023,6.7,216K,80,1h 58m,"Globetrotting Adventure, Psychological Thriller, Action, Adventure, Crime, Drama, Thriller"
Luca,2021,7.4,216K,71,1h 35m,"Buddy Comedy, Coming-of-Age, Computer Animation, Fairy Tale, Sea Adventure, Adventure, Animation, Comedy, Drama, Family"
The Penguin,2024,8.6,216K,N/A,TV-MA,"Gangster, Tragedy, Crime, Drama"
Red Sparrow,2018,6.6,214K,53,2h 20m,"Psychological Thriller, Spy, Action, Drama, Thriller"
Puss in Boots: The Last Wish,2022,7.8,214K,73,1h 42m,"Animal Adventure, Computer Animation, Dark Comedy, Fairy Tale, Psychological Drama, Quest, Swashbuckler, Action, Adventure, Animation"
First Man,2018,7.3,213K,84,2h 21m,"Docudrama, Period Drama, Tragedy, Biography, Drama, History"
Frozen II,2019,6.8,212K,64,1h 43m,"Computer Animation, Dark Fantasy, Fairy Tale, Pop Musical, Quest, Adventure, Animation, Comedy, Drama, Family"
Mare of Easttown,2021,8.4,212K,N/A,TV-MA,"Cop Drama, Police Procedural, Whodunnit, Crime, Drama, Mystery"
Bridgerton,2020–,7.4,210K,N/A,TV-MA,"Costume Drama, Period Drama, Steamy Romance, Teen Romance, Drama, Romance"
The Holdovers,2023,7.9,210K,82,2h 13m,"Holiday Comedy, Comedy, Drama, Holiday"
Triangle of Sadness,2022,7.2,209K,63,2h 27m,"Dark Comedy, Satire, Comedy, Drama"
Game of Thrones,2011–2019,5.9,209K,N/A,1h 18m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Psychological Drama, Sword & Sorcery, Tragedy, Action, Adventure"
Terminator: Dark Fate,2019,6.2,208K,54,2h 8m,"Artificial Intelligence, Cyberpunk, Time Travel, Action, Adventure, Sci-Fi"
6 Underground,2019,6.1,208K,41,2h 8m,"Spy, Action, Thriller"
Longlegs,2024,6.6,207K,77,1h 41m,"Psychological Horror, Psychological Thriller, Serial Killer, Supernatural Horror, Crime, Horror, Mystery, Thriller"
Monster,2022–,7.8,207K,N/A,TV-MA,"Docudrama, Serial Killer, True Crime, Biography, Crime, Drama, Thriller"
No Hard Feelings,2023,6.3,207K,59,1h 43m,"Raunchy Comedy, Romantic Comedy, Teen Comedy, Teen Romance, Comedy, Romance"
The Old Guard,2020,6.7,206K,70,2h 5m,"Globetrotting Adventure, Superhero, Action, Thriller"
Palm Springs,2020,7.4,206K,83,1h 30m,"Feel-Good Romance, High-Concept Comedy, Romantic Comedy, Supernatural Fantasy, Time Travel, Comedy, Fantasy, Mystery, Romance, Sci-Fi"
Rocketman,2019,7.3,206K,69,2h 1m,"Docudrama, Pop Musical, Rock Musical, Biography, Drama, Music, Musical"
Demon Slayer: Kimetsu no Yaiba,2019–2024,8.6,206K,N/A,TV-MA,"Japanese, Anime, Dark Fantasy, Hand-Drawn Animation, Shōnen, Supernatural Fantasy, Action, Adventure, Animation, Fantasy"
Isle of Dogs,2018,7.8,205K,82,1h 41m,"Adult Animation, Stop Motion Animation, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi"
Death on the Nile,2022,6.3,205K,52,2h 7m,"Whodunnit, Crime, Drama, Mystery"
She-Hulk: Attorney at Law,2022,5.2,205K,N/A,TV-14,"Superhero, Action, Adventure, Comedy, Sci-Fi"
The Book of Boba Fett,2021–2022,7.1,204K,N/A,TV-14,"Space Sci-Fi, Action, Adventure, Sci-Fi"
Crazy Rich Asians,2018,6.9,204K,72,2h,"Feel-Good Romance, Romantic Comedy, Comedy, Drama, Romance"
Mickey 17,2025,6.7,204K,74,2h 17m,"Alien Invasion, Dark Comedy, Satire, Space Sci-Fi, Adventure, Comedy, Fantasy, Sci-Fi"
The Sandman,2022–2025,7.7,204K,N/A,TV-MA,"Dark Fantasy, Supernatural Horror, Drama, Fantasy, Horror, Mystery, Sci-Fi"
Bumblebee,2018,6.7,203K,66,1h 54m,"Alien Invasion, Car Action, Teen Adventure, Urban Adventure, Action, Adventure, Sci-Fi"
The Power of the Dog,2021,6.8,203K,89,2h 6m,"Period Drama, Psychological Drama, Drama, Western"
The Trial of the Chicago 7,2020,7.7,202K,76,2h 9m,"Docudrama, Legal Drama, Political Drama, Drama, History, Thriller"
Talk to Me,2022,7.1,201K,76,1h 35m,"Body Horror, Psychological Horror, Supernatural Horror, Teen Horror, Horror, Thriller"
Mortal Kombat,2021,6.1,200K,44,1h 50m,"Dark Fantasy, Martial Arts, Supernatural Fantasy, Action, Adventure, Fantasy, Sci-Fi, Thriller"
A Man Called Otto,2022,7.5,200K,51,2h 6m,"Quirky Comedy, Comedy, Drama"
The Wild Robot,2024,8.2,200K,85,1h 42m,"Animal Adventure, Artificial Intelligence, Computer Animation, Survival, Adventure, Animation, Family, Sci-Fi"
The Last Duel,2021,7.3,200K,67,2h 32m,"Action Epic, Costume Drama, Epic, Historical Epic, Drama, History, Thriller"
Ralph Breaks the Internet,2018,7,200K,71,1h 52m,"Action Epic, Adventure Epic, Buddy Comedy, Computer Animation, Epic, Fantasy Epic, Sci-Fi Epic, Adventure, Animation, Comedy"
Babylon,2022,7.1,199K,61,3h 9m,"Costume Drama, Period Drama, Satire, Showbiz Drama, Tragedy, Comedy, Drama"
Altered Carbon,2018–2020,7.9,199K,N/A,TV-MA,"Cyberpunk, Action, Adventure, Drama, Sci-Fi"
Army of the Dead,2021,5.8,198K,57,2h 28m,"Action Epic, Adventure Epic, Epic, Gun Fu, Heist, Quest, Sci-Fi Epic, Splatter Horror, Supernatural Horror, War Epic"
Rampage,2018,6.1,198K,45,1h 47m,"Jungle Adventure, Kaiju, Action, Adventure, Sci-Fi"
The Covenant,2023,7.5,197K,63,2h 3m,"Action Epic, Action, Drama, Thriller, War"
Silo,2023–,8.1,197K,N/A,TV-MA,"Dystopian Sci-Fi, Psychological Drama, Drama, Mystery, Sci-Fi"
Heretic,2024,7,197K,71,1h 51m,"Psychological Horror, Psychological Thriller, Horror, Thriller"
Nomadland,2020,7.3,196K,87,1h 47m,"Road Trip, Tragedy, Drama"
Last Night in Soho,2021,7,195K,65,1h 56m,"Giallo, Psychological Horror, Supernatural Horror, Teen Horror, Drama, Horror, Mystery, Thriller"
Only Murders in the Building,2021–,8.1,195K,N/A,TV-MA,"Bumbling Detective, Cozy Mystery, Whodunnit, Comedy, Crime, Drama, Mystery, Thriller"
Bad Boys for Life,2020,6.5,193K,59,2h 4m,"Buddy Comedy, Buddy Cop, Cop Drama, Dark Comedy, Psychological Drama, Tragedy, Action, Comedy, Crime, Thriller"
Pokémon: Detective Pikachu,2019,6.5,193K,53,1h 44m,"Buddy Comedy, Adventure, Comedy, Family, Mystery, Sci-Fi"
The King's Man,2021,6.3,191K,44,2h 11m,"Spy, Action, Adventure, Thriller"
The Creator,2023,6.7,191K,63,2h 13m,"Action Epic, Adventure Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Epic, Sci-Fi Epic, Action, Adventure, Drama"
The Nun,2018,5.4,189K,46,1h 36m,"Supernatural Horror, Horror, Mystery, Thriller"
Searching,2018,7.6,189K,71,1h 42m,"Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller"
Air,2023,7.4,188K,73,1h 51m,"Basketball, Docudrama, Period Drama, Drama, Sport"
Tom Clancy's Jack Ryan,2018–2023,8,188K,N/A,TV-MA,"Spy, Action, Crime, Drama, Thriller"
Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,187K,47,2h 22m,"Dark Fantasy, Quest, Supernatural Fantasy, Sword & Sorcery, Adventure, Fantasy"
A Simple Favor,2018,6.7,187K,67,1h 57m,"Dark Comedy, Psychological Thriller, Comedy, Crime, Mystery, Thriller"
Sonic the Hedgehog,2020,6.5,186K,47,1h 39m,"Animal Adventure, Buddy Comedy, Road Trip, Slapstick, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family"
Wicked,2024,7.4,186K,73,2h 40m,"Fairy Tale, Pop Musical, Fantasy, Musical, Romance"
Weapons,2025,7.5,185K,81,2h 8m,"Dark Comedy, Psychological Horror, Supernatural Horror, Witch Horror, Horror, Mystery"
Twisters,2024,6.5,185K,65,2h 2m,"Disaster, Action, Adventure, Thriller"
Murder Mystery,2019,6.1,185K,38,1h 37m,"Bumbling Detective, Cozy Mystery, Whodunnit, Crime, Mystery, Romance"
Sicario: Day of the Soldado,2018,7.1,184K,61,2h 2m,"Contemporary Western, Cop Drama, Drug Crime, Action, Crime, Drama, Mystery, Thriller"
Raya and the Last Dragon,2021,7.3,184K,74,1h 47m,"Action Epic, Adventure Epic, Computer Animation, Epic, Fantasy Epic, Quest, Swashbuckler, Action, Adventure, Animation"
Anatomy of a Fall,2023,7.6,183K,86,2h 31m,"French, Legal Drama, Legal Thriller, Psychological Drama, Psychological Thriller, Crime, Drama, Mystery, Thriller"
Maze Runner: The Death Cure,2018,6.3,183K,50,2h 23m,"Dystopian Sci-Fi, Survival, Teen Adventure, Action, Adventure, Sci-Fi, Thriller"
Wonka,2023,6.9,183K,66,1h 56m,"Supernatural Fantasy, Adventure, Comedy, Family, Fantasy, Musical"
CODA,2021,8,183K,72,1h 51m,"Coming-of-Age, Comedy, Drama, Music"
Baby Reindeer,2024,7.7,183K,N/A,TV-MA,"Biography, Comedy, Drama"
RRR,2022,7.8,182K,83,3h 7m,"Telugu, Action Epic, Adventure Epic, Epic, Period Drama, Action, Adventure, Drama"
Onward,2020,7.4,182K,61,1h 42m,"Adventure Epic, Buddy Comedy, Computer Animation, Epic, Fantasy Epic, Quest, Supernatural Fantasy, Sword & Sorcery, Adventure, Animation"
Halloween,2018,6.5,182K,67,1h 46m,"Serial Killer, Slasher Horror, Teen Horror, Crime, Drama, Horror, Thriller"
Carry-On,2024,6.5,181K,69,1h 59m,"Conspiracy Thriller, One-Person Army Action, Action, Crime, Holiday, Thriller"
Radhe,2021,1.8,181K,N/A,1h 49m,"Hindi, Action, Thriller"
One Piece,2023–,8.3,181K,N/A,TV-14,"Action Epic, Adventure Epic, Fantasy Epic, Globetrotting Adventure, Martial Arts, Quest, Sea Adventure, Swashbuckler, Action, Adventure"
Yesterday,2019,6.8,181K,55,1h 56m,"Feel-Good Romance, High-Concept Comedy, Romantic Comedy, Comedy, Fantasy, Music, Romance"
Laal Singh Chaddha,2022,5.6,181K,46,2h 39m,"Hindi, Epic, Comedy, Drama, Romance"
Old,2021,5.8,180K,55,1h 48m,"Conspiracy Thriller, Psychological Drama, Psychological Thriller, Survival, Suspense Mystery, Drama, Mystery, Thriller"
The Ballad of Buster Scruggs,2018,7.2,180K,79,2h 13m,"Dark Comedy, Comedy, Drama, Musical, Mystery, Western"
Napoleon,2023,6.3,179K,64,2h 38m,"Action Epic, Costume Drama, Docudrama, Epic, Historical Epic, Period Drama, War Epic, Action, Adventure, Biography"
Scream,2022,6.3,179K,60,1h 54m,"Slasher Horror, Suspense Mystery, Whodunnit, Horror, Mystery, Thriller"
Godzilla Minus One,2023,7.7,179K,81,2h 4m,"Japanese, Action Epic, Adventure Epic, Dinosaur Adventure, Epic, Kaiju, Monster Horror, Period Drama, Sci-Fi Epic, Tragedy"
Game of Thrones,2011–2019,5.5,179K,N/A,1h 18m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Psychological Drama, Sword & Sorcery, Tragedy, Action, Adventure"
Nightmare Alley,2021,7,178K,70,2h 30m,"Psychological Thriller, Crime, Drama, Thriller"
Peacemaker,2022–,8.3,177K,N/A,TV-MA,"Dark Comedy, Superhero, Action, Adventure, Comedy, Crime, Drama, Fantasy, Sci-Fi"
Road House,2024,6.2,176K,57,2h 1m,"Action Epic, Action, Drama, Thriller"
Roma,2018,7.6,176K,96,2h 15m,"Spanish, Period Drama, Psychological Drama, Drama"
Bad Times at the El Royale,2018,7.1,176K,60,2h 21m,"Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
F9: The Fast Saga,2021,5.2,175K,58,2h 23m,"Action Epic, Car Action, Action, Crime, Thriller"
The Little Mermaid,2023,7.2,175K,59,2h 15m,"Fairy Tale, Feel-Good Romance, Sea Adventure, Teen Romance, Adventure, Family, Fantasy, Musical, Romance"
M3GAN,2022,6.3,175K,72,1h 42m,"Artificial Intelligence, Cyber Thriller, Dark Comedy, Horror, Sci-Fi, Thriller"
The Unbearable Weight of Massive Talent,2022,7,174K,68,1h 47m,"Buddy Comedy, Satire, Showbiz Drama, Spy, Action, Comedy, Crime, Thriller"
Joker: Folie à Deux,2024,5.2,173K,67,2h 18m,"Jukebox Musical, Prison Drama, Psychological Drama, Psychological Thriller, Drama, Musical, Thriller"
The Lost City,2022,6.1,173K,45,1h 52m,"Jungle Adventure, Romantic Comedy, Action, Adventure, Comedy, Romance"
Mission: Impossible - The Final Reckoning,2025,7.2,173K,60,2h 49m,"Action Epic, Adventure Epic, Spy, Action, Adventure, Thriller"
The Last Dance,2020,9,172K,N/A,TV-MA,"Basketball, Docuseries, Sports Documentary, Biography, Documentary, History, Sport"
How to Train Your Dragon: The Hidden World,2019,7.4,172K,71,1h 44m,"Computer Animation, Teen Fantasy, Action, Adventure, Animation, Comedy, Drama, Family, Fantasy"
3 Body Problem,2024–,7.5,172K,N/A,TV-MA,"Alien Invasion, Sci-Fi Epic, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
Vice,2018,7.2,172K,65,2h 12m,"Dark Comedy, Docudrama, Period Drama, Political Drama, Satire, Biography, Comedy, Drama, History"
The Fantastic Four: First Steps,2025,7,171K,61,1h 54m,"Space Sci-Fi, Superhero, Action, Adventure, Sci-Fi"
House of Gucci,2021,6.6,171K,59,2h 38m,"Docudrama, Legal Drama, Psychological Drama, Tragedy, True Crime, Biography, Crime, Drama"
Don't Worry Darling,2022,6.3,171K,48,2h 3m,"Psychological Thriller, Drama, Mystery, Thriller"
The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.6,171K,54,2h 37m,"Dystopian Sci-Fi, Teen Adventure, Action, Adventure, Drama, Sci-Fi, Thriller, War"
The Beekeeper,2024,6.3,170K,53,1h 45m,"Conspiracy Thriller, One-Person Army Action, Political Thriller, Action, Crime, Thriller"
The King,2019,7.3,170K,62,2h 20m,"Historical Epic, Period Drama, War Epic, Biography, Drama, History, War"
The Gentlemen,2024–2026,8,170K,N/A,TV-MA,"Dark Comedy, Action, Comedy, Crime"
Turning Red,2022,6.9,169K,83,1h 40m,"Coming-of-Age, Computer Animation, Teen Comedy, Teen Drama, Adventure, Animation, Comedy, Drama, Family, Fantasy"
Jujutsu Kaisen,2020–,8.5,169K,N/A,TV-MA,"Japanese, Adult Animation, Anime, Dark Fantasy, Hand-Drawn Animation, Shōnen, Supernatural Fantasy, Urban Adventure, Action, Adventure"
The Guilty,2021,6.3,168K,63,1h 30m,"Police Procedural, Psychological Drama, Crime, Drama, Thriller"
Extraction II,2023,7,168K,57,2h 2m,"Gun Fu, One-Person Army Action, Action, Crime, Thriller"
Morbius,2022,5.1,168K,35,1h 44m,"One-Person Army Action, Psychological Thriller, Superhero, Urban Adventure, Vampire Horror, Action, Adventure, Horror, Sci-Fi, Thriller"
Scam 1992: The Harshad Mehta Story,2020,9.2,168K,N/A,TV-14,"Hindi, Docudrama, True Crime, Biography, Crime, Drama, Thriller, Financial Drama"
Captain America: Brave New World,2025,5.6,167K,42,1h 58m,"Action Epic, Adventure Epic, Epic, Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi"
Society of the Snow,2023,7.8,167K,72,2h 24m,"Spanish, Docudrama, Mountain Adventure, Survival, Adventure, Biography, Drama, History, Thriller"
Challengers,2024,7,166K,82,2h 11m,"Psychological Drama, Steamy Romance, Comedy, Drama, Romance, Sport"
Creed II,2018,7.1,166K,66,2h 10m,"Boxing, Action, Drama, Sport"
Mulan,2020,5.8,166K,66,1h 55m,"Adventure Epic, Fantasy Epic, Martial Arts, Action, Adventure, Drama, Fantasy"
Bodyguard,2018,8,165K,N/A,TV-MA,"Conspiracy Thriller, Police Procedural, Political Drama, Crime, Drama, Mystery, Thriller"
The Mule,2018,7,165K,58,1h 56m,"Contemporary Western, Drug Crime, True Crime, Crime, Drama, Thriller"
The Devil All the Time,2020,7.1,165K,55,2h 18m,"Psychological Thriller, Crime, Drama, Thriller"
After Life,2019–2022,8.4,164K,N/A,TV-MA,"Dark Comedy, Comedy, Drama"
K.G.F: Chapter 2,2022,8.2,164K,N/A,2h 46m,"Kannada, Action Epic, Epic, Gangster, One-Person Army Action, Period Drama, Action, Crime, Drama, Thriller"
Pathaan,2023,5.8,164K,47,2h 26m,"Hindi, Action Epic, Globetrotting Adventure, Spy, Action, Adventure, Thriller"
Sound of Metal,2019,7.7,164K,82,2h,"Psychological Drama, Tragedy, Drama, Music"
Beetlejuice Beetlejuice,2024,6.6,163K,62,1h 45m,"Body Horror, Dark Comedy, Dark Fantasy, Slapstick, Supernatural Fantasy, Supernatural Horror, Comedy, Fantasy, Horror"
A Quiet Place: Day One,2024,6.3,163K,68,1h 39m,"Alien Invasion, Monster Horror, Drama, Horror, Sci-Fi, Thriller"
The French Dispatch,2021,7.1,163K,75,1h 47m,"Quirky Comedy, Comedy, Drama, Romance"
Midnight Mass,2021,7.7,163K,N/A,TV-MA,"Psychological Horror, Supernatural Horror, Suspense Mystery, Vampire Horror, Drama, Fantasy, Horror, Mystery"
Past Lives,2023,7.8,162K,94,1h 45m,"Korean, Drama, Romance"
Borat Subsequent Moviefilm,2020,6.6,162K,68,1h 35m,"Farce, Mockumentary, Parody, Satire, Comedy"
Kingdom of the Planet of the Apes,2024,6.8,161K,66,2h 25m,"Dystopian Sci-Fi, Sci-Fi Epic, Action, Adventure, Drama, Sci-Fi, Thriller"
The Conjuring: The Devil Made Me Do It,2021,6.2,161K,53,1h 52m,"Folk Horror, Supernatural Horror, Suspense Mystery, Horror, Mystery, Thriller"
Evil Dead Rise,2023,6.5,161K,69,1h 36m,"Body Horror, Dark Comedy, Splatter Horror, Supernatural Horror, Zombie Horror, Horror"
The Wheel of Time,2021–2025,7.2,161K,N/A,TV-14,"Adventure Epic, Fantasy Epic, Sword & Sorcery, Action, Adventure, Drama, Fantasy"
Hustle,2022,7.3,159K,68,1h 57m,"Basketball, Psychological Drama, Comedy, Drama, Sport"
Anyone But You,2023,6.1,159K,52,1h 43m,"Romantic Comedy, Satire, Comedy, Romance"
Tag,2018,6.5,158K,56,1h 40m,"Quirky Comedy, Raunchy Comedy, Action, Comedy"
The Predator,2018,5.3,158K,48,1h 47m,"Alien Invasion, Dark Comedy, Urban Adventure, Action, Adventure, Sci-Fi, Thriller"
12th Fail,2023,8.7,158K,N/A,2h 27m,"Hindi, Docudrama, Biography, Drama"
Triple Frontier,2019,6.5,157K,61,2h 5m,"Conspiracy Thriller, Action, Adventure, Thriller"
What If...?,2021–2024,7.3,157K,N/A,TV-14,"Adult Animation, Computer Animation, Superhero, Action, Adventure, Animation, Sci-Fi"
Men in Black: International,2019,5.6,157K,38,1h 54m,"Alien Invasion, Buddy Cop, Action, Adventure, Comedy, Sci-Fi"
The Marvels,2023,5.5,157K,50,1h 45m,"Space Sci-Fi, Superhero, Action, Adventure, Sci-Fi"
Elemental,2023,7,156K,58,1h 41m,"Computer Animation, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy, Romance"
Beef,2023–,8,156K,N/A,TV-MA,"Dark Comedy, Psychological Drama, Comedy, Drama"
I Care a Lot,2020,6.4,156K,66,1h 58m,"Dark Comedy, Comedy, Crime, Drama, Thriller"
Love and Monsters,2020,6.9,156K,63,1h 49m,"Dystopian Sci-Fi, Quest, Teen Comedy, Teen Fantasy, Action, Adventure, Comedy, Fantasy, Sci-Fi"
Escape Room,2019,6.4,155K,48,1h 39m,"B-Action, B-Horror, Psychological Horror, Psychological Thriller, Suspense Mystery, Whodunnit, Action, Adventure, Horror, Mystery"
From,2022–,7.8,155K,N/A,TV-MA,"Folk Horror, Psychological Horror, Supernatural Horror, Drama, Horror, Mystery, Sci-Fi, Thriller"
Licorice Pizza,2021,7.1,154K,90,2h 13m,"Coming-of-Age, Feel-Good Romance, Period Drama, Romantic Comedy, Showbiz Drama, Teen Comedy, Teen Drama, Teen Romance, Comedy, Drama"
The Equalizer 3,2023,6.8,154K,58,1h 49m,"One-Person Army Action, Action, Crime, Thriller"
Lupin,2021–,7.5,153K,N/A,TV-MA,"French, Heist, Action, Crime, Drama, Mystery"
Attack on Titan,2013–2023,9.8,152K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Where the Crawdads Sing,2022,7.2,152K,43,2h 5m,"Coming-of-Age, Legal Thriller, Suspense Mystery, Whodunnit, Drama, Mystery, Romance, Thriller"
1883,2021–2022,8.7,152K,N/A,TV-MA,"Period Drama, Western Epic, Drama, Western"
When They See Us,2019,8.8,152K,N/A,TV-MA,"Docudrama, Legal Drama, Teen Drama, True Crime, Biography, Crime, Drama, History"
Trap,2024,5.8,152K,52,1h 45m,"Psychological Horror, Psychological Thriller, Serial Killer, Crime, Horror, Mystery, Thriller"
Greenland,2020,6.4,150K,64,1h 59m,"Disaster, Action, Thriller"
Mortal Engines,2018,6.1,150K,44,2h 8m,"Dark Fantasy, Dystopian Sci-Fi, Fantasy Epic, Sci-Fi Epic, Steampunk, Action, Adventure, Fantasy, Sci-Fi, Thriller"
Pearl,2022,7,150K,76,1h 43m,"Coming-of-Age, Period Drama, Psychological Drama, Psychological Horror, Psychological Thriller, Showbiz Drama, Slasher Horror, Drama, Horror, Thriller"
King Richard,2021,7.5,150K,76,2h 24m,"Docudrama, Biography, Drama, Sport"
Killing Eve,2018–2022,8.1,149K,N/A,TV-14,"Psychological Drama, Spy, Action, Adventure, Drama, Thriller"
Den of Thieves,2018,7,149K,49,2h 20m,"Cop Drama, Heist, Action, Crime, Drama, Thriller"
The Hunt,2020,6.6,149K,50,1h 30m,"Dark Comedy, Slasher Horror, Action, Horror, Thriller"
28 Years Later,2025,6.6,148K,77,1h 55m,"Zombie Horror, Horror, Sci-Fi, Thriller"
The Gorge,2025,6.7,148K,57,2h 7m,"Dark Romance, Monster Horror, Survival, Action, Adventure, Horror, Romance, Sci-Fi"
The Ministry of Ungentlemanly Warfare,2024,6.8,147K,55,2h 2m,"War Epic, Action, Comedy, War"
The Night Agent,2023–,7.4,146K,N/A,TV-MA,"Conspiracy Thriller, Action, Drama, Thriller"
Companion,2025,6.9,146K,70,1h 37m,"Artificial Intelligence, Dark Comedy, Psychological Thriller, Sci-Fi, Thriller"
Red One,2024,6.2,145K,34,2h 3m,"Dark Fantasy, Holiday Comedy, Action, Adventure, Comedy, Fantasy, Holiday, Mystery"
Game of Thrones,2011–2019,7.6,145K,N/A,54m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Psychological Drama, Sword & Sorcery, Tragedy, Action, Adventure"
The Two Popes,2019,7.6,144K,75,2h 5m,"Docudrama, Biography, Comedy, Drama"
Game of Thrones,2011–2019,7.9,144K,N/A,58m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Psychological Drama, Sword & Sorcery, Tragedy, Action, Adventure"
The Morning Show,2019–,8.1,144K,N/A,TV-MA,"Showbiz Drama, Workplace Drama, Drama"
Scream VI,2023,6.4,143K,61,2h 2m,"Dark Comedy, Slasher Horror, Suspense Mystery, Teen Horror, Whodunnit, Horror, Mystery, Thriller"
Watchmen,2019,8.2,143K,N/A,TV-MA,"Dystopian Sci-Fi, Superhero, Crime, Drama, Mystery, Sci-Fi"
Skyscraper,2018,5.8,142K,51,1h 42m,"Disaster, Urban Adventure, Action, Adventure, Thriller"
Venom: The Last Dance,2024,6,142K,41,1h 50m,"Alien Invasion, Kaiju, Road Trip, Superhero, Action, Adventure, Sci-Fi, Thriller"
Black Mirror: Bandersnatch,2018,7.1,142K,N/A,1h 30m,"Drama, Fantasy, Mystery, Sci-Fi, Thriller"
The Zone of Interest,2023,7.3,142K,92,1h 45m,"German, Period Drama, Drama, History, War"
Shazam! Fury of the Gods,2023,5.9,142K,47,2h 10m,"Superhero, Action, Adventure, Comedy, Fantasy, Sci-Fi"
Jurassic World: Rebirth,2025,5.9,141K,50,2h 13m,"Dinosaur Adventure, Jungle Adventure, Action, Adventure, Sci-Fi, Thriller"
Fast X,2023,5.7,140K,56,2h 21m,"Action Epic, Car Action, Urban Adventure, Action, Adventure, Crime, Mystery, Thriller"
The Haunting of Bly Manor,2020,7.4,140K,N/A,TV-MA,"Psychological Horror, Supernatural Horror, Suspense Mystery, Drama, Horror, Mystery, Thriller"
A Minecraft Movie,2025,5.6,140K,45,1h 41m,"Action Epic, Adventure Epic, Fantasy Epic, High-Concept Comedy, Quest, Slapstick, Survival, Action, Adventure, Comedy"
King the Land,2023,5.7,140K,N/A,TV-14,"Korean, Feel-Good Romance, Korean Drama, Romantic Comedy, Teen Comedy, Comedy, Drama, Romance"
Asteroid City,2023,6.4,139K,76,1h 45m,"Quirky Comedy, Romantic Comedy, Showbiz Drama, Comedy, Drama, Romance, Sci-Fi"
Dexter: New Blood,2021–2022,8,139K,N/A,TV-MA,"Serial Killer, Suspense Mystery, Crime, Drama, Mystery"
The Acolyte,2024,4.3,139K,N/A,TV-14,"Dark Fantasy, Space Sci-Fi, Action, Adventure, Fantasy, Mystery, Sci-Fi, Thriller"
the Machines,2021,7.6,138K,81,1h 54m,"Artificial Intelligence, Computer Animation, Farce, Quirky Comedy, Road Trip, Adventure, Animation, Comedy, Family, Sci-Fi"
Knock at the Cabin,2023,6.1,138K,63,1h 40m,"Psychological Thriller, Horror, Mystery, Thriller"
Rebel Moon - Part One: A Child of Fire,2023,5.6,138K,31,2h 13m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama"
