Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Bullet Train,2022,7.3,511K,49,2h 7m,"One-Person Army Action, Action, Comedy, Thriller"
House of the Dragon,2022–,8.3,492K,N/A,TV-MA,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Glass Onion,2022,7.1,488K,81,2h 19m,"Cozy Mystery, Satire, Whodunnit, Comedy, Crime, Drama, Mystery, Thriller"
Spider-Man: Across the Spider-Verse,2023,8.5,485K,86,2h 20m,"Action Epic, Adventure Epic, Computer Animation, Epic, Fantasy Epic, Sci-Fi Epic, Superhero, Supernatural Fantasy, Teen Adventure, Teen Fantasy"
Ant-Man and the Wasp,2018,7,483K,70,1h 58m,"Superhero, Action, Adventure, Comedy, Sci-Fi"
Jojo Rabbit,2019,7.9,476K,58,1h 48m,"Coming-of-Age, Dark Comedy, High-Concept Comedy, Period Drama, Quirky Comedy, Satire, Comedy, Drama, War"
Shang-Chi and the Legend of the Ten Rings,2021,7.3,476K,71,2h 12m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Kung Fu, Martial Arts, Sci-Fi Epic, Superhero, Action, Adventure"
Free Guy,2021,7.1,474K,62,1h 55m,"Artificial Intelligence, Gun Fu, High-Concept Comedy, Romantic Comedy, Superhero, Urban Adventure, Action, Adventure, Comedy, Fantasy"
The Menu,2022,7.2,473K,71,1h 47m,"Dark Comedy, Psychological Horror, Satire, Comedy, Horror, Thriller"
No Time to Die,2021,7.3,473K,68,2h 43m,"Action Epic, Adventure Epic, Globetrotting Adventure, Spy, Action, Adventure, Thriller"
Wednesday,2022–,8,469K,N/A,TV-14,"Coming-of-Age, Dark Fantasy, Supernatural Fantasy, Teen Comedy, Whodunnit, Comedy, Crime, Fantasy, Mystery"
John Wick: Chapter 3 - Parabellum,2019,7.4,467K,73,2h 10m,"Gun Fu, One-Person Army Action, Action, Crime, Drama, Thriller"
Black Widow,2021,6.6,465K,68,2h 14m,"Spy, Superhero, Action, Adventure, Sci-Fi"
Zack Snyder's Justice League,2021,7.9,465K,54,4h 2m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sci-Fi Epic, Superhero, Action, Adventure, Fantasy"
Midsommar,2019,7.1,464K,72,2h 28m,"Dark Comedy, Folk Horror, Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Mystery, Thriller"
The Irishman,2019,7.8,461K,94,3h 29m,"Docudrama, Epic, Gangster, Period Drama, True Crime, Biography, Crime, Drama, History, Thriller"
Loki,2021–2023,8.2,458K,N/A,TV-14,"Adventure Epic, Superhero, Time Travel, Action, Adventure, Fantasy, Sci-Fi"
3,2023,7.9,450K,64,2h 30m,"Space Sci-Fi, Superhero, Action, Adventure, Comedy, Sci-Fi"
The Suicide Squad,2021,7.2,447K,72,2h 12m,"Action Epic, Adventure Epic, Dark Comedy, Epic, Gun Fu, Kaiju, Sci-Fi Epic, Superhero, Action, Adventure"
Thor: Love and Thunder,2022,6.1,446K,57,1h 58m,"Action Epic, Adventure Epic, Dark Comedy, Epic, Sci-Fi Epic, Superhero, Action, Adventure, Comedy, Romance"
The Gentlemen,2019,7.8,443K,51,1h 53m,"Caper, Dark Comedy, Drug Crime, Gangster, Action, Crime"
A Star Is Born,2018,7.6,441K,88,2h 16m,"Romantic Epic, Showbiz Drama, Tragedy, Tragic Romance, Drama, Music, Romance"
Hereditary,2018,7.3,436K,87,2h 7m,"Folk Horror, Psychological Drama, Psychological Horror, Psychological Thriller, Supernatural Horror, Tragedy, Witch Horror, Drama, Horror, Mystery"
The Lord of the Rings: The Rings of Power,2022–,6.9,432K,N/A,TV-14,"Adventure Epic, Epic, Fantasy Epic, Sword & Sorcery, Action, Adventure, Drama, Fantasy"
Ted Lasso,2020–,8.8,419K,N/A,TV-MA,"Soccer, Workplace Drama, Comedy, Drama, Sport"
Soul,2020,8,418K,83,1h 40m,"Coming-of-Age, Computer Animation, Adventure, Animation, Comedy, Drama, Family, Fantasy, Music"
