Job_Title_Raw,Salary_Min_Overview,Salary_Max_Overview,Salary_Avg_Overview,Source_Link
solution architect,20 Tr,138 Tr,"49,1 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/solution-architect-kwc1
chuyên viên quản trị mạng,5 Tr,20 Tr,"11,2 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/chuyên-viên-quản-trị-mạng-kwc1
chuyên viên kinh doanh,5 Tr,30 Tr,"11,1 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/chuyên-viên-kinh-doanh-kwc1
fullstack developer,6 Tr,"80,5 Tr","22,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/fullstack-developer-kwc1
developer,"4,6 Tr",46 Tr,"14,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/developer-kwc1
web developer,5 Tr,50 Tr,"17,2 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/web-developer-kwc1
nhân viên kinh doanh,5 Tr,30 Tr,12 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/nhân-viên-kinh-doanh-kwc1
2d artist,5 Tr,"34,5 Tr","14,8 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/2d-artist-kwc1
graphic designer,5 Tr,30 Tr,"10,6 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/graphic-designer-kwc1
database administrator,5 Tr,46 Tr,18 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/database-administrator-kwc1
software developer,5 Tr,60 Tr,"16,8 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/software-developer-kwc1
lương giám sát bán hàng,"4,5 Tr",46 Tr,"14,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Giám-Sát-Bán-Hàng-kw
it engineer,5 Tr,35 Tr,"14,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/it-engineer-kwc1
lương chuyên viên kinh doanh,4 Tr,46 Tr,"11,4 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Chuyên-Viên-Kinh-Doanh-kw
thực tập sinh,"3,5 Tr",5 Tr,"2,7 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/thực-tập-sinh-kwc1
senior developer,6 Tr,65 Tr,"24,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/senior-developer-kwc1
database developer,5 Tr,25 Tr,"14,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/database-developer-kwc1
lương sales admin,4 Tr,27 Tr,"9,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Sales-Admin-kw
lập trình viên php,5 Tr,22 Tr,"11,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/lập-trình-viên-php-kwc1
chuyên viên quản trị hệ thống,5 Tr,30 Tr,"12,7 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/chuyên-viên-quản-trị-hệ-thống-kwc1
data engineer,7 Tr,"80,5 Tr","24,1 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/data-engineer-kwc1
nhân viên công nghệ thông tin,6 Tr,16 Tr,11 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/nhân-viên-công-nghệ-thông-tin-kwc1
