Job_Name,Salary_Range,Company,Location,Required_Skills,Updated_Time,Detail_Link
Product Owner,10 - 28 triệu,CÔNG TY TNHH DAOUKIWOOM INNOVATION,Hồ Chí Minh: Bình Thạnh,"Agile, SCRUM, Stakeholder Management",11 phút trước,https://www.topcv.vn/viec-lam/product-owner/1912791.html?ta_source=ITJobs_LinkDetail
Nhân Viên Triển Khai Giải Pháp ERP,8 - 15 triệu,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề, kỹ năng tư vấn",11 phút trước,https://www.topcv.vn/brand/fast/tuyen-dung/nhan-vien-trien-khai-giai-phap-erp-j1910826.html?ta_source=ITJobs_LinkDetail
Scrum Master/ Project Manager (Technical Base/ Tester Base) Offer Upto 40M,Thoả thuận,OpenCommerce Group,Hà Nội: Đống Đa,"tester leader, Software Tester, SCRUM",11 phút trước,https://www.topcv.vn/viec-lam/scrum-master-project-manager-technical-base-tester-base-offer-upto-40m/1912700.html?ta_source=ITJobs_LinkDetail
Giám Đốc IT - Tiếng Nhật N2,Thoả thuận,CÔNG TY CỔ PHẦN PGT SOLUTIONS,Hà Nội: Cầu Giấy,"Tiếng Nhật N2 Trở Lên, Quản Lý Dự Án It, Quản Lý Ngân Sách It",11 phút trước,https://www.topcv.vn/viec-lam/giam-doc-it-tieng-nhat-n2/1841319.html?ta_source=ITJobs_LinkDetail
Blockchain Backend Developer,"1,000 - 2,500 USD",CÔNG TY TNHH BULL LABS,Hà Nội: Nam Từ Liêm,"CSS, Git, HTTP/HTTPS",11 phút trước,https://www.topcv.vn/viec-lam/blockchain-backend-developer/1256541.html?ta_source=ITJobs_LinkDetail
Embedded Software Engineer Thu Nhập Thỏa Thuận Tại Hà Nội,Thoả thuận,CÔNG TY CỔ PHẦN ĐIỆN TỬ SOJI,Hà Nội: Hà Đông,"Debugging, Embedded Systems",11 phút trước,https://www.topcv.vn/viec-lam/embedded-software-engineer-thu-nhap-thoa-thuan-tai-ha-noi/1913827.html?ta_source=ITJobs_LinkDetail
Kỹ Thuật Quản Trị Cơ Sở Dữ Liệu - DBA - Thu Nhập Upto 35 Triệu Đồng - 1 Năm Kinh Nghiệm,15 - 35 triệu,Công ty cổ phần Onenet,Hà Nội: Nam Từ Liêm,"Sao Lưu Và Phục Hồi Dữ Liệu (backup And Recovery), Bảo Mật Cơ Sở Dữ Liệu (database Security), Tối Ưu Hóa Hiệu Suất Cơ Sở Dữ Liệu (database Performance Tuning)",11 phút trước,https://www.topcv.vn/viec-lam/ky-thuat-quan-tri-co-so-du-lieu-dba-thu-nhap-upto-35-trieu-dong-1-nam-kinh-nghiem/1897732.html?ta_source=ITJobs_LinkDetail
Mobile Developer (IOS Hoặc Android Developer),Thoả thuận,Công ty Cổ Phần Đầu tư Công nghệ Trip,Hà Nội: Nam Từ Liêm,"Hiểu Biết Về Cấu Trúc Dữ Liệu Và Giải Thuật, Kinh Nghiệm Làm Việc Với Restful Api, Lập Trình Swift (ios) Hoặc Kotlin Java (android)",11 phút trước,https://www.topcv.vn/viec-lam/mobile-developer-ios-hoac-android-developer/1913414.html?ta_source=ITJobs_LinkDetail
"X Middle Frontend Developer (Vue.Js 3, ElectronJS) (Thu Nhập Lên Đến 30 Triệu)",20 - 30 triệu,CÔNG TY CỔ PHẦN GENLOGIN SOFTWARE,Hà Nội: Hà Đông,"CSS, HTML, Javascript (es6+)",11 phút trước,https://www.topcv.vn/viec-lam/x-middle-frontend-developer-vue-js-3-electronjs-thu-nhap-len-den-30-trieu/1904054.html?ta_source=ITJobs_LinkDetail
Senior Mobile Team Lead - Cầu Giấy Hà Nội - Dự Án Chứng Khoán,Thoả thuận,CÔNG TY TNHH GROOO INTERNATIONAL,Hà Nội: Cầu Giấy,"Quản Lý Dự Án, Agile/Scrum, Lãnh Đạo Nhóm",11 phút trước,https://www.topcv.vn/viec-lam/senior-mobile-team-lead-cau-giay-ha-noi-du-an-chung-khoan/1912767.html?ta_source=ITJobs_LinkDetail
Fullstack Developer (Mạnh Backend/Frontend) - Thu Nhập Upto 35 Triệu (Net) Tại Hà Nội,Tới 35 triệu,OpenCommerce Group,Hà Nội: Đống Đa,"Javascript, HTML/CSS, RESTful APIs",11 phút trước,https://www.topcv.vn/viec-lam/fullstack-developer-manh-backend-frontend-thu-nhap-upto-35-trieu-net-tai-ha-noi/1900029.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Quản Trị Hệ Thống,"Tới 1,300 USD",CÔNG TY TNHH VETC DIGITAL,Hà Nội: Nam Từ Liêm,"Quản Trị Hệ Điều Hành (windows Server, Linux), Ảo Hóa (vmware, Hyper V), Bảo Mật Hệ Thống",11 phút trước,https://www.topcv.vn/viec-lam/chuyen-vien-quan-tri-he-thong/1884416.html?ta_source=ITJobs_LinkDetail
Business Analyst (Có KN Core Banking Data) - Upto 30M,Tới 30 triệu,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội,"SQL, Phân tích dữ liệu, Quản Lý Dự Án",11 phút trước,https://www.topcv.vn/viec-lam/business-analyst-co-kn-core-banking-data-upto-30m/1908426.html?ta_source=ITJobs_LinkDetail
Golang Engineer,Tới 50 triệu,CÔNG TY TNHH MONSTARLAB VIỆT NAM,Hà Nội: Nam Từ Liêm,Golang,11 phút trước,https://www.topcv.vn/viec-lam/golang-engineer/489739.html?ta_source=ITJobs_LinkDetail
Mobile Engineer (Android/Flutter/IOS) - Dự Án Product,Thoả thuận,Công ty Cổ phần Công nghệ eUp,Hà Nội: Thanh Xuân,"Android SDK, Mobile Development, Android Developer",11 phút trước,https://www.topcv.vn/brand/eup/tuyen-dung/mobile-engineer-android-flutter-ios-du-an-product-j1902083.html?ta_source=ITJobs_LinkDetail
"Lập Trình Viên Back-End (NodeJS - Y/C 3 Năm Kinh Nghiệm, Thu Nhập 20 - 25 Triệu/Tháng)",20 - 25 triệu,VUIHOC.vn,Hà Nội: Thanh Xuân,"Node.js, Javascript (es6+), Databases (e.g., Mongodb, Postgresql, Mysql)",11 phút trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-back-end-nodejs-y-c-3-nam-kinh-nghiem-thu-nhap-20-25-trieu-thang/1905475.html?ta_source=ITJobs_LinkDetail
"Flutter Mobile Apps Developer (Android, IOS)",14 - 22 triệu,Công ty Cổ phần Công nghệ Tài chính Goline,Hà Nội: Cầu Giấy,N/A,11 phút trước,https://www.topcv.vn/viec-lam/flutter-mobile-apps-developer-android-ios/1897703.html?ta_source=ITJobs_LinkDetail
Blockchain Developer,"1,000 - 2,500 USD",CÔNG TY TNHH BULL LABS,Hà Nội: Nam Từ Liêm,"Blockchain Architecture, Smart Contracts, Cryptography",11 phút trước,https://www.topcv.vn/viec-lam/blockchain-developer/1911430.html?ta_source=ITJobs_LinkDetail
Java Engineer,"800 - 3,500 USD",Khối Công nghệ thông tin - Viettel Telecom,Hà Nội: Nam Từ Liêm,N/A,11 phút trước,https://www.topcv.vn/viec-lam/java-engineer/1907566.html?ta_source=ITJobs_LinkDetail
Junior React Native Developer,Tới 12 triệu,CÔNG TY CỔ PHẦN TEASER,Hà Nội: Nam Từ Liêm,"Javascript, React Native, React",11 phút trước,https://www.topcv.vn/viec-lam/junior-react-native-developer/1857734.html?ta_source=ITJobs_LinkDetail
Lập Trình Viên C#  (IT DEV),Thoả thuận,CÔNG TY TNHH SẢN XUẤT VINH QUANG,"Hà Nội: Quốc Oai, Thạch Thất",N/A,11 phút trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-c-it-dev/1911086.html?ta_source=ITJobs_LinkDetail
Nhân Viên Hỗ Trợ Phần Mềm FAST,8 - 15 triệu,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề, Kỹ năng làm việc nhóm",11 phút trước,https://www.topcv.vn/brand/fast/tuyen-dung/nhan-vien-ho-tro-phan-mem-fast-j1910819.html?ta_source=ITJobs_LinkDetail
Business Analyst,Thoả thuận,CÔNG TY TNHH MTV SEN VÀNG VIỆT NAM,Hồ Chí Minh: Thủ Đức,"Giao tiếp, Phân Tích Nghiệp Vụ, Giải quyết vấn đề",11 phút trước,https://www.topcv.vn/viec-lam/business-analyst/1866073.html?ta_source=ITJobs_LinkDetail
"Full Stack Developer Intern (Reactjs, Nodejs)",Tới 5 triệu,BSS Group,Hà Nội: Nam Từ Liêm,"HTML, CSS, Javascript",11 phút trước,https://www.topcv.vn/viec-lam/full-stack-developer-intern-reactjs-nodejs/1911604.html?ta_source=ITJobs_LinkDetail
IT Support - Từ 1 Năm Kinh Nghiệm - Thu Nhập Upto 12M - Quận 12,9 - 12 triệu,CÔNG TY TNHH CÔNG NGHỆ MEGAHOST,Hồ Chí Minh: Quận 12,N/A,11 phút trước,https://www.topcv.vn/viec-lam/it-support-tu-1-nam-kinh-nghiem-thu-nhap-upto-12m-quan-12/1453064.html?ta_source=ITJobs_LinkDetail
"Java Developers (Spring Boot, Java Core)",18 - 28 triệu,Công ty Cổ phần Công nghệ Tài chính Goline,Hà Nội: Cầu Giấy,N/A,11 phút trước,https://www.topcv.vn/viec-lam/java-developers-spring-boot-java-core/1911798.html?ta_source=ITJobs_LinkDetail
Lập Trình Viên Mobile App/ Mobile Developer (App Tài Chính) - Thu Nhập Upto 20 Triệu - Làm Việc Từ Thứ 2 Đến Thứ 6,16 - 20 triệu,Công ty Cổ phần Tập đoàn Đầu tư EMIR,Hà Nội: Cầu Giấy,"RESTful API, Kiến Thức Về Cấu Trúc Dữ Liệu Và Giải Thuật, Quản Lý Bộ Nhớ",11 phút trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-mobile-app-mobile-developer-app-tai-chinh-thu-nhap-upto-20-trieu-lam-viec-tu-thu-2-den-thu-6/1891085.html?ta_source=ITJobs_LinkDetail
Lập Trình Viên PHP Developer - 2 Năm Kinh Nghiệm,Từ 10 triệu,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO H2T,"Bình Dương: Thuận AnHồ Chí Minh: Thủ Đức, Quận 12, Quận 9","CSS, HTML, Javascript",11 phút trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-php-developer-2-nam-kinh-nghiem/1903449.html?ta_source=ITJobs_LinkDetail
Middle AI Engineer,Thoả thuận,IMT SOLUTIONS CORP,Hồ Chí Minh: Tân Bình,"Xử Lý Dữ Liệu, Lập Trình Python, Học Máy (machine Learning)",11 phút trước,https://www.topcv.vn/viec-lam/middle-ai-engineer/1903880.html?ta_source=ITJobs_LinkDetail
Product Manager (Cosmetics Industry) - Lương 20-35 Triệu + Thưởng Sản Phẩm,20 - 35 triệu,CÔNG TY TNHH SẢN XUẤT & THƯƠNG MẠI DƯỢC MỸ PHẨM ASIALAB,Hồ Chí Minh: Bình Thạnh,"Giao tiếp, Phân tích dữ liệu, Nghiên Cứu Thị Trường",11 phút trước,https://www.topcv.vn/viec-lam/product-manager-cosmetics-industry-luong-20-35-trieu-thuong-san-pham/1880906.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Quản Trị Mạng (IT Network),Thoả thuận,Ngân Hàng Bảo Việt,Hà Nội,N/A,12 phút trước,https://www.topcv.vn/viec-lam/chuyen-vien-quan-tri-mang-it-network/1903419.html?ta_source=ITJobs_LinkDetail
Web Creator / Wordpress/ PHP/ CSS,18 - 25 triệu,Công Ty TNHH Chiroro-Net Việt,Hồ Chí Minh: Quận 1,N/A,12 phút trước,https://www.topcv.vn/viec-lam/web-creator-wordpress-php-css/747970.html?ta_source=ITJobs_LinkDetail
Angular Developer,15 - 22 triệu,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội: Nam Từ Liêm,"Angular, TypeScript, HTML",12 phút trước,https://www.topcv.vn/viec-lam/angular-developer/1900040.html?ta_source=ITJobs_LinkDetail
Phó Phòng Công Nghệ Thông Tin (Mảng Tài Chính) - Thu Nhập Upto 40 Triệu - Làm Việc Từ Thứ 2 Đến Thứ 6,30 - 40 triệu,Công ty Cổ phần Tập đoàn Đầu tư EMIR,Hà Nội: Cầu Giấy,"Quản Lý Đội Nhóm, Quản Lý Dự Án, phần mềm Agile/Scrum",12 phút trước,https://www.topcv.vn/viec-lam/pho-phong-cong-nghe-thong-tin-mang-tai-chinh-thu-nhap-upto-40-trieu-lam-viec-tu-thu-2-den-thu-6/1891530.html?ta_source=ITJobs_LinkDetail
Nhân Viên Hỗ Trợ IT (IT Support),Thoả thuận,CÔNG TY CỔ PHẦN GIÁO DỤC ISMART,Hồ Chí Minh: Quận 10,N/A,32 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-it-it-support/1913264.html?ta_source=ITJobs_LinkDetail
Trưởng/Phó Phòng R&D,Thoả thuận,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ IDEA,Hồ Chí Minh: Thủ Đức,"Quản Lý Dự Án, Phân Tích Nghiệp Vụ, Phát Triển Phần Mềm",32 phút trước,https://www.topcv.vn/viec-lam/truong-pho-phong-rd/1896253.html?ta_source=ITJobs_LinkDetail
DEV - Embedded Software Engineer,25 - 40 triệu,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,"Javascript, Shell script, TCP/IP",32 phút trước,https://www.topcv.vn/viec-lam/dev-embedded-software-engineer/1874980.html?ta_source=ITJobs_LinkDetail
Lập Trình Viên IOS (Mobile Apps),18 - 30 triệu,Công ty Cổ phần INFINITY TECHNOLOGY GLOBAL,Hà Nội: Đống Đa,N/A,32 phút trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-ios-mobile-apps/1895155.html?ta_source=ITJobs_LinkDetail
"Junior Business Analyst At Bitel, Based In Peru  - Salary $1,100 - $1,400","1,100 - 1,400 USD",Viettel Peru,Nước Ngoài,N/A,32 phút trước,https://www.topcv.vn/viec-lam/junior-business-analyst-at-bitel-based-in-peru-salary-1-100-1-400/1894336.html?ta_source=ITJobs_LinkDetail
