Job_Name,Salary_Range,Company,Location,Required_Skills,Updated_Time,Detail_Link
Lập Trình Viên VueJS,Thoả thuận,Công ty cổ phần FDS,Hà Nội: Cầu Giấy,"Bootstrap, TypeScript, Tailwindcss",19 giờ trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-vuejs/1893753.html?ta_source=ITJobs_LinkDetail
Game Designer Lương Upto 20tr,10 - 20 triệu,CÔNG TY TNHH SENSPARK,Hồ Chí Minh: Quận 2,"Thiết Kế Game, Kiểm Thử Game, Thiết Kế Level",19 giờ trước,https://www.topcv.vn/viec-lam/game-designer-luong-upto-20tr/1675555.html?ta_source=ITJobs_LinkDetail
Product Manager Lương Upto $1000 ( Web3),"500 - 1,000 USD",CÔNG TY TNHH SENSPARK,Hồ Chí Minh: Quận 2,"Product Manager, Market Research, Data Analysis",19 giờ trước,https://www.topcv.vn/viec-lam/product-manager-luong-upto-1000-web3/1843388.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst - BA) Tại Hà Nội,Thoả thuận,Công ty Cổ phần Công nghệ Pavana,Hà Nội: Cầu Giấy,N/A,19 giờ trước,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst-ba-tai-ha-noi/1894543.html?ta_source=ITJobs_LinkDetail
Software Tester,10 - 18 triệu,BSS Group,Hà Nội: Nam Từ Liêm,"Kiến Thức Về Kiểm Thử Phần Mềm, Kỹ Năng Phân Tích Yêu Cầu, Kỹ Năng Viết Test Case",19 giờ trước,https://www.topcv.vn/viec-lam/software-tester/1894736.html?ta_source=ITJobs_LinkDetail
Business Analyst (Yêu Cầu Tốt Nghiệp MBA),Thoả thuận,Công ty Cổ phần MISA,Hà Nội: Bắc Từ Liêm,"Business Analyst, Giao tiếp, Phân tích dữ liệu",19 giờ trước,https://www.topcv.vn/brand/congtycophanmisa/tuyen-dung/business-analyst-yeu-cau-tot-nghiep-mba-j1895258.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Kiểm Soát Chất Lượng (Tester) Tại Hà Nội,Thoả thuận,Công ty Cổ phần Công nghệ Pavana,Hà Nội: Cầu Giấy,N/A,19 giờ trước,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-soat-chat-luong-tester-tai-ha-noi/1894531.html?ta_source=ITJobs_LinkDetail
Nhân Viên IT Quản Lý Hệ Thống Biết Tiếng Anh,12 - 13 triệu,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DU LỊCH HTC GLOBAL,Hồ Chí Minh: Quận 7,"Quản Trị Hệ Thống, Tiếng Anh Chuyên Ngành It, Khắc phục sự cố",19 giờ trước,https://www.topcv.vn/viec-lam/nhan-vien-it-quan-ly-he-thong-biet-tieng-anh/1895515.html?ta_source=ITJobs_LinkDetail
IT Support Intern - Thực Tập Sinh IT Support,Tới 2.6 triệu,CALIFORNIA FITNESS & YOGA CENTERS,Hồ Chí Minh: Quận 4,"Kỹ năng giải quyết vấn đề, kỹ năng giao tiếp tốt, Kiến Thức Về Phần Cứng Máy Tính",19 giờ trước,https://www.topcv.vn/viec-lam/it-support-intern-thuc-tap-sinh-it-support/1639518.html?ta_source=ITJobs_LinkDetail
Nhân Viên Kỹ Thuật Mạng,8 - 10 triệu,Công ty Cổ phần Công nghệ Wi-Mesh,Hồ Chí Minh: Thủ Đức,"Kỹ năng giao tiếp, Kiến Thức Về Mạng Không Dây (wireless)",19 giờ trước,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-mang/719293.html?ta_source=ITJobs_LinkDetail
Back-End Developer,9 - 12 triệu,CÔNG TY TNHH GLODIVAL,Hồ Chí Minh: Bình Thạnh,N/A,19 giờ trước,https://www.topcv.vn/viec-lam/back-end-developer/1888410.html?ta_source=ITJobs_LinkDetail
Thực Tập Lập Trình Website,3.5 - 10 triệu,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ANHI SOLUTION,Hồ Chí Minh: Gò Vấp,"HTML, CSS, Javascript",19 giờ trước,https://www.topcv.vn/viec-lam/thuc-tap-lap-trinh-website/1894334.html?ta_source=ITJobs_LinkDetail
2D Game Artist,Tới 25 triệu,Winter Wolf - IEC Games,Hà Nội: Cầu Giấy,"Game Artist, Photoshop, Adobe Illustrator",19 giờ trước,https://www.topcv.vn/viec-lam/2d-game-artist/509522.html?ta_source=ITJobs_LinkDetail
Nhân Viên Vị Trí Kỹ Thuật Viên,7 - 12 triệu,CÔNG TY TNHH TM DV ĐT TIN HỌC BÁCH VIỆT,Bình Dương: Thủ Dầu Một,"Tin học văn phòng, Kiến Thức Về Phần Mềm Máy Tính, Kiến Thức Về Mạng Máy Tính",20 giờ trước,https://www.topcv.vn/viec-lam/nhan-vien-vi-tri-ky-thuat-vien/831144.html?ta_source=ITJobs_LinkDetail
2D UI/UX Game Artist Từ 2 Năm Kinh Nghiệm,15 - 20 triệu,Công ty Cổ phần Công nghệ SUGA,Hà Nội: Nam Từ Liêm,"3D Artist, Illustrator, Photoshop",20 giờ trước,https://www.topcv.vn/viec-lam/2d-ui-ux-game-artist-tu-2-nam-kinh-nghiem/1593087.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Triển Khai Phần Mềm (Quản Lý Dự Án IT),10 - 15 triệu,Công ty Cổ Phần Base Enterprise,Đà Nẵng: Hải Châu,"Quản Lý Dự Án, Phân Tích Nghiệp Vụ, Giao tiếp",20 giờ trước,https://www.topcv.vn/viec-lam/chuyen-vien-trien-khai-phan-mem-quan-ly-du-an-it/1913393.html?ta_source=ITJobs_LinkDetail
Network Security Engineer,Thoả thuận,CÔNG TY CỔ PHẦN TẬP ĐOÀN MẶT TRỜI CHI NHÁNH HÀ NỘI,Hà Nội: Hai Bà Trưng,"Network Security, Firewall Management, Intrusion Detection Prevention Systems (ids Ips)",21 giờ trước,https://www.topcv.vn/viec-lam/network-security-engineer/1913266.html?ta_source=ITJobs_LinkDetail
Thực Tập IT,Thoả thuận,Công ty TNHH Công nghệ ZLINK Việt Nam,Hà Nội: Đống ĐaHồ Chí Minh: Gò Vấp,N/A,21 giờ trước,https://www.topcv.vn/viec-lam/thuc-tap-it/1100744.html?ta_source=ITJobs_LinkDetail
Nhân Viên Kỹ Thuật Lắp Đặt Camera Đi Làm Ngay,8 - 15 triệu,CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ ANH NINH CỘNG LỰC,Hải Phòng: Lê Chân,"Lắp Đặt Camera Quan Sát, Khắc Phục Sự Cố Hệ Thống Camera, Kiến Thức Về Hệ Thống Camera Ip, Analog",22 giờ trước,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-lap-dat-camera-di-lam-ngay/1637202.html?ta_source=ITJobs_LinkDetail
Quản Lý Dự Án (Project Manager),Thoả thuận,CÔNG TY CỔ PHẦN TẬP ĐOÀN MẶT TRỜI CHI NHÁNH HÀ NỘI,Hà Nội: Hai Bà Trưng,"Lập Kế Hoạch Dự Án, Quản Lý Rủi Ro, Quản lý thời gian",22 giờ trước,https://www.topcv.vn/viec-lam/quan-ly-du-an-project-manager/1913156.html?ta_source=ITJobs_LinkDetail
Nhân Viên QA,8 - 12 triệu,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,Hà Nội: Tây Hồ,"phân tích yêu cầu, Viết Testcase, Báo Cáo Lỗi",22 giờ trước,https://www.topcv.vn/viec-lam/nhan-vien-qa/1650145.html?ta_source=ITJobs_LinkDetail
Network Engineer (Headend),Thoả thuận,CÔNG TY TNHH TRUYỀN HÌNH FPT,Hồ Chí Minh: Quận 7Hà Nội: Cầu Giấy,"Frontend, Network, Python Cơ Bản",22 giờ trước,https://www.topcv.vn/viec-lam/network-engineer-headend/1685651.html?ta_source=ITJobs_LinkDetail
"Trưởng Bộ Phận Phụ Trách Hệ Thống, Phần Mềm, IT",Thoả thuận,Công ty TNHH TMDV Âu Châu,Hồ Chí Minh: Thủ Đức,"Quản Lý Dự Án, Quản Lý Đội Nhóm, Quản Lý Hệ Thống",22 giờ trước,https://www.topcv.vn/viec-lam/truong-bo-phan-phu-trach-he-thong-phan-mem-it/1913119.html?ta_source=ITJobs_LinkDetail
"Lập Trình Viên Web (.NET Core, Vue.Js)",15 - 20 triệu,CHI NHÁNH GIẢI PHÁP CÔNG NGHỆ TRE - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI TNG,Thái Nguyên: TP Thái Nguyên,"CSS, HTML, Javascript",22 giờ trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-web-net-core-vue-js/1913068.html?ta_source=ITJobs_LinkDetail
"Security Compliance Engineer, 6months Contract",Thoả thuận,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG TRỰC TUYẾN (VÍ MOMO),Hồ Chí Minh: Quận 7,"Security Compliance, Risk Management, Auditing",22 giờ trước,https://www.topcv.vn/viec-lam/security-compliance-engineer-6months-contract/1912987.html?ta_source=ITJobs_LinkDetail
Game Designer (Kịch Bản Game),Tới 25 triệu,Công ty cổ phần HIGAME,Hà Nội: Nam Từ Liêm,"Game Editor, GameMaker, Microsoft Office",22 giờ trước,https://www.topcv.vn/viec-lam/game-designer-kich-ban-game/728831.html?ta_source=ITJobs_LinkDetail
"Technical Manager (Java, Reactjs)",Từ 90 triệu,CÔNG TY CỔ PHẦN SIÊU ỨNG DỤNG ONEVN,Hà Nội: Bắc Từ Liêm,"Java, Leadership, ReactJS",22 giờ trước,https://www.topcv.vn/viec-lam/technical-manager-java-reactjs/1912046.html?ta_source=ITJobs_LinkDetail
IT Support Analyst Intern,4.5 - 5 triệu,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM OLAM VIỆT NAM,Đồng Nai: Long Thành,"Kỹ năng giao tiếp, Power BI, Data Analyst",22 giờ trước,https://www.topcv.vn/viec-lam/it-support-analyst-intern/1910856.html?ta_source=ITJobs_LinkDetail
Nhân Viên IT,Thoả thuận,Công ty TNHH Cammsys Việt Nam,Vĩnh Phúc: Bình Xuyên,Tin học văn phòng,22 giờ trước,https://www.topcv.vn/viec-lam/nhan-vien-it/1203056.html?ta_source=ITJobs_LinkDetail
Process Quality Assurance (PQA),Tới 22 triệu,CÔNG TY TNHH GITS,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề, Kỹ Năng Viết Báo Cáo",22 giờ trước,https://www.topcv.vn/viec-lam/process-quality-assurance-pqa/1851211.html?ta_source=ITJobs_LinkDetail
Post-Sales Network Engineer (ENT),Thoả thuận,SVTECH,Hà Nội: Cầu Giấy,"Quản Trị Mạng, Khắc Phục Sự Cố Mạng, Cấu Hình Thiết Bị Mạng (router, Switch, Firewall)",23 giờ trước,https://www.topcv.vn/viec-lam/post-sales-network-engineer-ent/1644290.html?ta_source=ITJobs_LinkDetail
Giám Đốc Công Nghệ - CTO,"3,000 - 5,000 USD",CÔNG TY TRÁCH NHIỆM HỮU HẠN ORANT,Hà Nội: Thanh Xuân,"Lãnh đạo, Quản Lý Dự Án, Phân Tích Nghiệp Vụ",23 giờ trước,https://www.topcv.vn/viec-lam/giam-doc-cong-nghe-cto/1912762.html?ta_source=ITJobs_LinkDetail
QA Manager,Thoả thuận,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,Hà Nội: Cầu Giấy,"Kiến Thức Về Quy Trình Kiểm Thử Phần Mềm, Kỹ Năng Quản Lý Dự Án, Kỹ Năng Lãnh Đạo Nhóm",23 giờ trước,https://www.topcv.vn/viec-lam/qa-manager/1912778.html?ta_source=ITJobs_LinkDetail
Chuyên Viên IT Support,Thoả thuận,CÔNG TY TNHH THE SENTRY,Hồ Chí Minh: Quận 12,"Giải quyết vấn đề, Khắc Phục Sự Cố Máy Tính, Kiến Thức Về Phần Cứng Máy Tính",23 giờ trước,https://www.topcv.vn/viec-lam/chuyen-vien-it-support/1763310.html?ta_source=ITJobs_LinkDetail
Python Developer,Thoả thuận,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Hà Nội: Từ Liêm,N/A,23 giờ trước,https://www.topcv.vn/viec-lam/python-developer/934930.html?ta_source=ITJobs_LinkDetail
PHP Developer,Thoả thuận,Công ty Cổ phần Kaopiz Software,Hà Nội: Nam Từ Liêm,"Kiến Thức Về Lập Trình Hướng Đối Tượng (oop), Html, Css, Javascript, Mysql Hoặc Các Hệ Quản Trị Cơ Sở Dữ Liệu Quan Hệ Khác",1 ngày trước,https://www.topcv.vn/viec-lam/php-developer/1580151.html?ta_source=ITJobs_LinkDetail
Game Designer,Thoả thuận,Công ty Cổ phần Negaxy,Hà Nội: Cầu Giấy,"Thiết Kế Game, Kiểm Thử Game, Lập Trình Game (ít Nhất 1 Ngôn Ngữ)",1 ngày trước,https://www.topcv.vn/viec-lam/game-designer/1636272.html?ta_source=ITJobs_LinkDetail
On Job Training Java Developer,Thoả thuận,FPT Software,Hồ Chí Minh: Thủ Đức,"Java, Lập Trình Hướng Đối Tượng (oop), Cấu Trúc Dữ Liệu Và Giải Thuật",1 ngày trước,https://www.topcv.vn/viec-lam/on-job-training-java-developer/1838657.html?ta_source=ITJobs_LinkDetail
Mobile Developer (Flutter),Thoả thuận,Công ty Cổ phần 9Pay,Hà Nội: Thanh Xuân,"Git, Android studio, Lập Trình Java Kotlin (android)",1 ngày trước,https://www.topcv.vn/viec-lam/mobile-developer-flutter/1729538.html?ta_source=ITJobs_LinkDetail
Lập Trình Ruby On Rails,Thoả thuận,CÔNG TY TNHH CÔNG NGHỆ AMCOLAB,Hà Nội: Nam Từ Liêm,"Git, Javascript, Ruby on Rails",1 ngày trước,https://www.topcv.vn/viec-lam/lap-trinh-ruby-on-rails/1860224.html?ta_source=ITJobs_LinkDetail
Tester,Thoả thuận,Công ty Cổ phần Kaopiz Software,Hà Nội: Nam Từ Liêm,N/A,1 ngày trước,https://www.topcv.vn/viec-lam/tester/1402472.html?ta_source=ITJobs_LinkDetail
Comtor Tiếng Nhật,Tới 30 triệu,CÔNG TY TNHH CÔNG NGHỆ RIKAI,Đà Nẵng: Hải Châu,"Ngữ Pháp Tiếng Nhật, Từ Vựng Tiếng Nhật, Kỹ Năng Nghe Tiếng Nhật",1 ngày trước,https://www.topcv.vn/viec-lam/comtor-tieng-nhat/1757795.html?ta_source=ITJobs_LinkDetail
Fresher Automation Testing,Thoả thuận,FPT Software,Hồ Chí Minh: Thủ Đức,"Kiến Thức Về Kiểm Thử Phần Mềm, Kỹ Năng Lập Trình Cơ Bản (java, Python, C#), Hiểu Biết Về Các Framework Kiểm Thử Tự Động (selenium, Appium, Junit, Testng)",1 ngày trước,https://www.topcv.vn/viec-lam/fresher-automation-testing/1913211.html?ta_source=ITJobs_LinkDetail
Fresher Golang Developer (Base Java),Thoả thuận,FPT Software,Hồ Chí Minh: Thủ Đức,"Lập Trình Hướng Đối Tượng (oop), Kiến Thức Về Hệ Điều Hành, Go (golang)",1 ngày trước,https://www.topcv.vn/viec-lam/fresher-golang-developer-base-java/1910160.html?ta_source=ITJobs_LinkDetail
Nhân Viên Phát Triển Phần Mềm,Thoả thuận,Công ty TNHH Công nghiệp  Brother Việt Nam,Hải Dương: Cẩm Giàng,"Lập Trình, phân tích yêu cầu, Thiết Kế Phần Mềm",1 ngày trước,https://www.topcv.vn/viec-lam/nhan-vien-phat-trien-phan-mem/1913101.html?ta_source=ITJobs_LinkDetail
Nhân Viên Backend - Go - Middle,Thoả thuận,CÔNG TY CỔ PHẦN TRUYỀN HÌNH TƯƠNG TÁC VIỆT NAM,Hà Nội: Ba Đình,"Version Control (git), Microservices Architecture, Go Programming Language",1 ngày trước,https://www.topcv.vn/viec-lam/nhan-vien-backend-go-middle/1894898.html?ta_source=ITJobs_LinkDetail
Project Manager (Chuyển Đổi Số Khối Chính Phủ),Thoả thuận,FPT IS,Hà Nội: Cầu Giấy,"Giao tiếp, Lập Kế Hoạch, Quản Lý Dự Án",1 ngày trước,https://www.topcv.vn/brand/fptis/tuyen-dung/project-manager-chuyen-doi-so-khoi-chinh-phu-j1912940.html?ta_source=ITJobs_LinkDetail
Trưởng Bộ Phận Tổng Đài,Thoả thuận,Công Ty Cổ Phần Đầu Tư Thương Mại Và Phát Triển Công Nghệ FSI,Hà Nội: Thanh Xuân,"Kỹ năng lãnh đạo, Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề",1 ngày trước,https://www.topcv.vn/viec-lam/truong-bo-phan-tong-dai/1908425.html?ta_source=ITJobs_LinkDetail
Kỹ Thuật Viên Khôi Phục Dữ Liệu Số,Thoả thuận,Công Ty Cổ Phần Đầu Tư Thương Mại Và Phát Triển Công Nghệ FSI,Hà Nội: Thanh Xuân,"Khôi Phục Dữ Liệu Từ Các Thiết Bị Lưu Trữ Khác Nhau (ổ Cứng, Ssd, Thẻ Nhớ,...), Sử Dụng Các Phần Mềm Khôi Phục Dữ Liệu Chuyên Nghiệp (phân Tích Dữ Liệu Thô), Hiểu Biết Về Hệ Điều Hành Và Hệ Thống Tệp Tin (windows, Linux, Macos)",1 ngày trước,https://www.topcv.vn/viec-lam/ky-thuat-vien-khoi-phuc-du-lieu-so/1736665.html?ta_source=ITJobs_LinkDetail
Kỹ Sư Ứng Dụng/ Application Engineer,Thoả thuận,Công ty TNHH MTV Vprint,Hồ Chí Minh,N/A,1 ngày trước,https://www.topcv.vn/viec-lam/ky-su-ung-dung-application-engineer/1913255.html?ta_source=ITJobs_LinkDetail
IT Onsite Support Service,Thoả thuận,Công ty TNHH Tài Năng,Hồ Chí Minh: Thủ Đức,"Khắc Phục Sự Cố Phần Cứng, Khắc Phục Sự Cố Phần Mềm, Hỗ Trợ Kỹ Thuật Tại Chỗ",1 ngày trước,https://www.topcv.vn/viec-lam/it-onsite-support-service/1912354.html?ta_source=ITJobs_LinkDetail
Lập Trình Viên,12 - 20 triệu,Công ty cổ phần phần mềm MeKong,Kiên Giang: TP Rạch GiáAn Giang,"Làm việc nhóm, debug, Thiết Kế Hệ Thống",1 ngày trước,https://www.topcv.vn/viec-lam/lap-trinh-vien/1669958.html?ta_source=ITJobs_LinkDetail
Product Owner (Internal System),15 - 25 triệu,CÔNG TY CP CÔNG NGHỆ GIÁO DỤC TRƯỜNG HỌC TRỰC TUYẾN - ONSCHOOL,Hà Nội: Thanh Xuân,"Agile, SCRUM, Phân Tích Nghiệp Vụ (business Analysis)",1 ngày trước,https://www.topcv.vn/viec-lam/product-owner-internal-system/1912818.html?ta_source=ITJobs_LinkDetail
Junior Mobile Flutter Developer - Lĩnh Vực Edtech,10 - 15 triệu,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,Hà Nội: Hai Bà Trưng,"Git, Flutter, Dart",1 ngày trước,https://www.topcv.vn/viec-lam/junior-mobile-flutter-developer-linh-vuc-edtech/1733887.html?ta_source=ITJobs_LinkDetail
Embedded Software Intern (E-GEN Talent Program),Thoả thuận,Công ty cổ phần công nghệ - viễn thông Elcom,Hà Nội: Cầu Giấy,"Problem Solving, algorithms",1 ngày trước,https://www.topcv.vn/viec-lam/embedded-software-intern-e-gen-talent-program/1911977.html?ta_source=ITJobs_LinkDetail
Lập Trình Viên Java,Thoả thuận,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),Hà Nội: Nam Từ Liêm,"Java, Lập Trình Hướng Đối Tượng (oop), Cấu Trúc Dữ Liệu Và Giải Thuật",1 ngày trước,https://www.topcv.vn/viec-lam/lap-trinh-vien-java/1860498.html?ta_source=ITJobs_LinkDetail
Leader 2D Artist/ Anime,Thoả thuận,CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ BLUE DREAM,Hồ Chí Minh: Quận 7,"Vẽ 2d, Thiết Kế Nhân Vật, Sử Dụng Thành Thạo Các Phần Mềm Vẽ 2d (photoshop, Clip Studio Paint,...)",1 ngày trước,https://www.topcv.vn/viec-lam/leader-2d-artist-anime/1912258.html?ta_source=ITJobs_LinkDetail
Product Owner (Game Mobile),Tới 50 triệu,CÔNG TY CỔ PHẦN CÔNG NGHỆ SAVA META,Hà Nội: Hai Bà Trưng,"Quản Lý Sản Phẩm, Giao tiếp hiệu quả, Thu Thập Và Phân Tích Dữ Liệu",1 ngày trước,https://www.topcv.vn/viec-lam/product-owner-game-mobile/1618864.html?ta_source=ITJobs_LinkDetail
Project Manager (System),Thoả thuận,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TOÀN CẦU IIJ VIỆT NAM,Hồ Chí Minh: Quận 1,"Quản lý thời gian, Quản Lý Dự Án, Quản Lý Ngân Sách",1 ngày trước,https://www.topcv.vn/viec-lam/project-manager-system/1912651.html?ta_source=ITJobs_LinkDetail
Assistant Project Manager,Thoả thuận,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TOÀN CẦU IIJ VIỆT NAM,Hồ Chí Minh: Quận 1Hà Nội: Đống Đa,"Làm việc nhóm, Quản lý thời gian, Tổ chức công việc",1 ngày trước,https://www.topcv.vn/viec-lam/assistant-project-manager/1912654.html?ta_source=ITJobs_LinkDetail
System Administrator,Thoả thuận,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TOÀN CẦU IIJ VIỆT NAM,Hồ Chí Minh: Quận 1,"Quản Trị Mạng, Quản Trị Hệ Thống, An Ninh Mạng",1 ngày trước,https://www.topcv.vn/viec-lam/system-administrator/1912644.html?ta_source=ITJobs_LinkDetail
Product Owner - Công Ty LynkiD - TA172,Thoả thuận,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),Hà Nội: Hoàn Kiếm,"Giao tiếp, Quản Lý Sản Phẩm, phân tích yêu cầu",1 ngày trước,https://www.topcv.vn/brand/vpbank/tuyen-dung/product-owner-cong-ty-lynkid-ta172-j1911627.html?ta_source=ITJobs_LinkDetail
Junior Process Quality Assurance (PQA),Tới 12 triệu,CÔNG TY CỔ PHẦN CÔNG NGHỆ AMELA VIỆT NAM,Hà Nội: Từ Liêm,N/A,1 ngày trước,https://www.topcv.vn/viec-lam/junior-process-quality-assurance-pqa/1912168.html?ta_source=ITJobs_LinkDetail
Quản Lý Dự Án CRM (Project Manager),Thoả thuận,Công ty cổ phần giải pháp MKT,Hà Nội: Thanh Xuân,"Quản Lý Dự Án, CRM, Giao tiếp",1 ngày trước,https://www.topcv.vn/viec-lam/quan-ly-du-an-crm-project-manager/1912163.html?ta_source=ITJobs_LinkDetail
Intern Process Quality Assurance (PQA),Tới 5 triệu,CÔNG TY CỔ PHẦN CÔNG NGHỆ AMELA VIỆT NAM,Hà Nội: Từ Liêm,"Kiến Thức Về Quy Trình Kiểm Soát Chất Lượng, Kỹ Năng Phân Tích Dữ Liệu, Kỹ năng giao tiếp",1 ngày trước,https://www.topcv.vn/viec-lam/intern-process-quality-assurance-pqa/1912177.html?ta_source=ITJobs_LinkDetail
Game Designer Intern,Tới 10 triệu,CÔNG TY CỔ PHẦN CÔNG NGHỆ BRAVESTARS,Hà Nội: Thanh Xuân,"thiết kế kịch bản game, Tiếng Anh thành thạo",1 ngày trước,https://www.topcv.vn/viec-lam/game-designer-intern/1912972.html?ta_source=ITJobs_LinkDetail
2D Artist Senior,25 - 30 triệu,Công ty Cổ phần Gapu,Hà Nội,"khả năng làm việc độc lập và theo nhóm, Kỹ Năng Vẽ 2d Xuất Sắc, Hiểu Biết Về Nguyên Tắc Thiết Kế (composition, Color Theory, Perspective)",1 ngày trước,https://www.topcv.vn/viec-lam/2d-artist-senior/1692910.html?ta_source=ITJobs_LinkDetail
Nhân Viên Trading Analyst Học Quant Trading,9 - 12 triệu,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ THE20,Hà Nội: Thanh Xuân,"Phân Tích Tài Chính, thống kê, Toán học",1 ngày trước,https://www.topcv.vn/viec-lam/nhan-vien-trading-analyst-hoc-quant-trading/1912097.html?ta_source=ITJobs_LinkDetail
Nhân Viên Game Designer,10 - 15 triệu,Công Ty Cổ Phần Funius,Hà Nội: Cầu Giấy,N/A,1 ngày trước,https://www.topcv.vn/viec-lam/nhan-vien-game-designer/1415919.html?ta_source=ITJobs_LinkDetail
"CTV AI Developer - Chuyên Ảnh, Video",Thoả thuận,Công ty TNHH Đầu Tư & Công Nghệ AVG,Hà Nội: Từ Liêm,"Deep learning, Computer Vision, Xử Lý Ảnh",1 ngày trước,https://www.topcv.vn/viec-lam/ctv-ai-developer-chuyen-anh-video/1912061.html?ta_source=ITJobs_LinkDetail
Digital Marketing Developer,13 - 15 triệu,CÔNG TY TNHH RU9,Hồ Chí Minh: Thủ Đức,"SEO/SEM, Content Marketing, Email Marketing",1 ngày trước,https://www.topcv.vn/viec-lam/digital-marketing-developer/1912881.html?ta_source=ITJobs_LinkDetail
Nhân Viên  Kỹ Thuật Dự Án Công Nghệ Thông Tin,7 - 15 triệu,CÔNG TY TNHH MTV ỨNG DỤNG KỸ THUẬT VÀ SẢN XUẤT-CHI NHÁNH VŨNG TÀU,Hồ Chí Minh: Tân Bình,"Giao tiếp, phân tích yêu cầu, Giải quyết vấn đề",1 ngày trước,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-du-an-cong-nghe-thong-tin/1911426.html?ta_source=ITJobs_LinkDetail
2D Game Artist,Thoả thuận,CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ BLUE DREAM,Hồ Chí Minh: Quận 7,"Vẽ Tay, Thiết Kế Nhân Vật, Hiểu Biết Về Bố Cục Và Màu Sắc",1 ngày trước,https://www.topcv.vn/viec-lam/2d-game-artist/1911926.html?ta_source=ITJobs_LinkDetail
Manual Tester,Thoả thuận,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Hà Nội: Nam Từ Liêm,N/A,1 ngày trước,https://www.topcv.vn/viec-lam/manual-tester/1911575.html?ta_source=ITJobs_LinkDetail
Product Owner,15 - 24 triệu,BSS Group,Hà Nội: Nam Từ Liêm,"Communication, Stakeholder Management, Prioritization",1 ngày trước,https://www.topcv.vn/viec-lam/product-owner/1863552.html?ta_source=ITJobs_LinkDetail
Product Owner (Audit IQ),Tới 45 triệu,BSS Group,Hà Nội,"Agile, SCRUM, Stakeholder Management",1 ngày trước,https://www.topcv.vn/viec-lam/product-owner-audit-iq/1865378.html?ta_source=ITJobs_LinkDetail
Game Project Manager,19 - 25 triệu,Công ty Cổ phần Công nghệ Gametamin,Đà Nẵng: Hải Châu,"Giao tiếp, Lập Kế Hoạch, Quản Lý Dự Án",1 ngày trước,https://www.topcv.vn/viec-lam/game-project-manager/1804951.html?ta_source=ITJobs_LinkDetail
Thực Tập Sinh Dự Án/ Project Management Intern,Thoả thuận,Công Ty TNHH Phát Triển Giáo Dục Và Công Nghệ I&E Việt Nam,Hà Nội: Cầu Giấy,Tư duy logic,1 ngày trước,https://www.topcv.vn/viec-lam/thuc-tap-sinh-du-an-project-management-intern/1756523.html?ta_source=ITJobs_LinkDetail
Lập Trình Web,12 - 20 triệu,Công ty TNHH Công Nghiệp Phúc Cần,Bình Dương: Tân Uyên,"NodeJS, Redux, TypeScript",1 ngày trước,https://www.topcv.vn/viec-lam/lap-trinh-web/1910875.html?ta_source=ITJobs_LinkDetail
SOC Analyst (Tier 1),Thoả thuận,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,Hà Nội: Từ LiêmHồ Chí Minh: Quận 10,"Phân Tích Nhật Ký (log Analysis), Kiến Thức Về Mạng (networking), Giám Sát An Ninh (security Monitoring)",1 ngày trước,https://www.topcv.vn/viec-lam/soc-analyst-tier-1/1869573.html?ta_source=ITJobs_LinkDetail
