Movie_Name,Release_Year,Metascore,User_Score
Roma,2018,0.96,0.74
Parasite,2019,0.97,0.85
Quo Vadis,2020,0.97,0.8
The Worst Person in the World,2021,0.91,0.77
Aftersun,2022,0.95,0.76
Past Lives,2023,0.94,0.78
Anora,2024,0.91,0.74
Weapons,2025,0.81,0.75
